"db_id","article_id","resource_name","access","available","unavailable_message","available_update_date","notes","article_year","citations","status","debut_yr","total_articles","total_citations","article_status"
"MBDC0110",368,"EpoDB","http://www.cbil.upenn.edu/epodb","no","not found","not_applicable","not_applicable",1999,22,"no",1998,2,27,"update"
"MBDC0112",2349,"KEGG: Kyoto Encyclopedia of Genes and Genomes","http://www.kegg.jp/","yes","not_applicable","2017","not_applicable",2012,1635,"yes",1999,11,16832,"update"
"MBDC0114",1530,"MetaCyc","MetaCyc.org","yes","not_applicable","2016","not_applicable",2008,184,"yes",2002,8,1204,"update"
"MBDC0116",1564,"RegulonDB","http://regulondb.ccg.unam.mx/","yes","not_applicable","2016","not_applicable",2008,310,"yes",1998,10,1445,"update"
"MBDC0117",1204,"University of Minnesota Biocatalysis/Biodegradation Database","http://umbbd.ahc.umn.edu/","no","can't be reached","not_applicable","not_applicable",2006,106,"no",1999,6,334,"update"
"MBDC0119",845,"ALFRED: Allele Frequency Database ","http://alfred.med.yale.edu","yes","not_applicable","unknown","not_applicable",2003,47,"yes",2000,4,144,"update"
"MBDC0120",213,"Androgen Receptor Gene Mutations Database","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1997,43,"no",1994,4,241,"update"
"MBDC0122",812,"Atlas of Genetics and Cytogenetics in Oncology and Haematology","http://www.infobiogen.fr/services/chromcancer","no","can't be reached","not_applicable","not_applicable",2003,34,"yes",1999,5,121,"update"
"MBDC0123",308,"BTKbase: Bruton's agammaglobulinemia Tyrosine Kinase database","http://www.helsinki.fi/science/signal/btkbase.html","no","can't be reached","not_applicable","not_applicable",1998,66,"no",1996,3,126,"update"
"MBDC0126",313,"Germline p53 Mutations in Cancer Prone Families","http://www.If2.cuni.cz","no","can't be reached","not_applicable","not_applicable",1998,35,"no",1998,1,35,"debut"
"MBDC0128",1018,"FLAGdb++","http://genoplanteinfo.infobiogen.fr/FLAGdb/","no","can't be reached","not_applicable","not_applicable",2004,44,"no",2004,1,44,"debut"
"MBDC0130",66,"Haemophilia B","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1994,44,"no",1991,7,342,"update"
"MBDC0131",1028,"GWAS Centeral ","http://hgvbase.cgb.ki.se","no","can't be reached","not_applicable","Provenance; formerly known as HGBASE and predecessor to GWAS Central",2004,58,"yes",2000,4,286,"update"
"MBDC0136",271,"Human PAX6 Mutation Database","http://www.hgu.mrc.ac.uk/Softdata/PAX6/","no","related generic reseach institution site redirect","not_applicable","not_applicable",1998,57,"no",1998,1,57,"debut"
"MBDC0137",230,"Human Collagen Mutation Database","http://www.le.ac.uk/depts/ge/collagen/collagen.htm","yes","not_applicable","2016","not_applicable",1997,182,"yes",1997,2,326,"debut"
"MBDC0138",828,"KDBI: Kinetic Data of Biomolecular Interactions","http://xin.cz3.nus.edu.sg/group/kdbi/kdbi.asp","no","can't be reached","not_applicable","not_applicable",2003,25,"yes",2003,2,36,"debut"
"MBDC0139",370,"KinMutBase","http://www.uta.fi/laitokset/imt/KinMutBase.htm","no","related generic reseach institution site redirect","not_applicable","not_applicable",1999,12,"no",1999,2,23,"debut"
"MBDC0143",100,"OMIM: Online Mendelian Inheritance in Man","omim.gdb.org","no","can't be reached","not_applicable","not_applicable",1994,52,"yes",1994,5,1766,"debut"
"MBDC0144",332,"PAH Mutation Analysis Consortium Database","http://www.mcgill.ca/pahdb","no","can't be reached","not_applicable","not_applicable",1998,42,"no",1996,3,96,"update"
"MBDC0146",342,"PMD: Protein Mutant Database","http://pmd.ddbj.nig.ac.jp","no","forbidden","not_applicable","not_applicable",1999,86,"no",1999,1,86,"debut"
"MBDC0152",492,"MTB: Mouse Tumor Biology Database","http://www.informatics.jax.org","yes","not_applicable","2016","not_applicable",2000,14,"yes",1999,5,67,"update"
"MBDC0154",558,"PEDB: Prostate Expression Database","http://www.mbt.washington.edu/PEDB/","no","can't be reached","not_applicable","not_applicable",2000,17,"yes",1999,3,88,"update"
"MBDC0156",598,"AARSDB: Aminoacyl-tRNA Synthetase Data Bank","http://biobases.ibch.poznan.pl/aars/","yes","not_applicable","2003","not_applicable",2001,15,"yes",1999,3,30,"update"
"MBDC0160",2105,"RNA Helicase Database","www.rnahelicase.org","yes","not_applicable","unknown","not_applicable",2011,23,"yes",2011,1,23,"debut"
"MBDC0162",321,"ESTHER: ESTerases, alpha-beta Hydrolase Enzymes and Relatives","http://www.ensam.inra.fr/cholinesterase","no","can't be reached","not_applicable","not_applicable",1998,55,"yes",1996,5,285,"update"
"MBDC0163",657,"EXProt: EXperimentally verified PROTeins","http://www.cmbi.kun.nl/EXProt/","no","can't be reached","not_applicable","not_applicable",2002,5,"no",2002,1,5,"debut"
"MBDC0165",214,"GenProtEC: Genes and proteins of Escherichia coli K-12","http://mbl.edu/html/ecoli.html","no","not found","not_applicable","not_applicable",1997,23,"no",1996,4,148,"update"
"MBDC0166",873,"GPCRDB: G Protein-Coupled Receptor Database","http://www.gpcr.org/7tm/","yes","not_applicable","2016","not_applicable",2003,286,"yes",1998,6,854,"update"
"MBDC0167",135,"HDB: Histone Database","http://www.ncbi.nlm.nih.gov/Baxevani/HISTONES","no","not found","not_applicable","not_applicable",1996,24,"yes",1996,6,139,"debut"
"MBDC0170",866,"Homeodomain Resource","http://research.nhgri.nih.gov/homeodomain/","yes","not_applicable","2016","not_applicable",2003,19,"yes",1999,4,58,"update"
"MBDC0171",466,"HUGE","http://www.kazusa.or.jp/huge","yes","not_applicable","2008","not_applicable",2000,36,"yes",1999,4,162,"update"
"MBDC0172",474,"IMGT: ImMunoGeneTics database","http://imgt.cines.fr:8104","no","can't be reached","not_applicable","not_applicable",2000,107,"yes",1997,9,1370,"update"
"MBDC0173",1713,"EMBL-EBI IPD IMGT/HLA","http://www.ebi.ac.uk/imgt/hla/","yes","not_applicable","2017","not_applicable",2009,126,"yes",2001,5,1251,"update"
"MBDC0174",536,"InBase: New England Biolabs Intein Database","http://www.neb.com/neb/inteins.html","no","not found","not_applicable","not_applicable",2000,65,"no",1999,3,339,"update"
"MBDC0176",641,"LGICdb: Ligand Gated Ion Channel database ","http://www.pasteur.fr/recherche/banques/LGIC/LGIC.html","no","not found","not_applicable","not_applicable",2001,53,"yes",1999,3,142,"update"
"MBDC0177",1308,"MEROPS","http://merops.sanger.ac.uk","yes","not_applicable","2017","not_applicable",2006,394,"yes",1999,10,2774,"update"
"MBDC0181",120,"MHCPEP: MHC-binding peptides","http://www.wehi.edu.au","no","related generic reseach institution site redirect","not_applicable","not_applicable",1996,19,"no",1994,4,249,"update"
"MBDC0182",239,"NRR: Nuclear Receptor Resource","http://nrr.georgetown.edu/nrr.html.","no","can't be reached","not_applicable","not_applicable",1997,7,"no",1997,2,22,"debut"
"MBDC0184",543,"ORDB: Olfactory Receptor Database","http://ycmi.med.yale.edu/senselab/ordb/","no","related generic reseach institution site redirect","not_applicable","not_applicable",2000,18,"yes",1999,3,84,"update"
"MBDC0185",411,"ooTFD: Object Oriented Transcription Factors Database","http://www.ifti.org/","yes","not_applicable","unknown","not_applicable",1999,8,"yes",1998,3,90,"update"
"MBDC0186",920,"Peptaibol Database","http://www.cryst.bbk.ac.uk/peptaibol","yes","not_applicable","unknown","not_applicable",2004,79,"yes",2004,1,79,"debut"
"MBDC0187",1900,"ELM: Eukaryotic Linear Motif","http://elm.eu.org/","yes","not_applicable","2016","not_applicable",2010,162,"yes",2010,4,489,"debut"
"MBDC0189",716,"PLANT-Pls","http://bighost.area.ba.cnr.it/PLANT-Pls","no","can't be reached","not_applicable","not_applicable",2002,80,"no",2002,1,80,"debut"
"MBDC0194",16,"PIR: Protein Identification Resouce","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1991,21,"yes",1991,12,975,"debut"
"MBDC0195",340,"Ribonuclease P Database","http://www.mbio.ncsu.edu/RNaseP/home.html","yes","not_applicable","2005","not_applicable",1999,267,"yes",1994,5,360,"update"
"MBDC0196",495,"SENTRA","http://wit.mcs.anl.gov/WIT2/Sentra/","no","can't be reached","not_applicable","not_applicable",2000,6,"no",2000,3,43,"debut"
"MBDC0199",2534,"TIGRFAMs","http://www.jcvi.org/tigrfams","yes","not_applicable","2014","not_applicable",2013,38,"yes",2001,4,617,"update"
"MBDC0200",651,"Hits","http://hits.isb-sib.ch","yes","not_applicable","2017","not_applicable",2001,27,"yes",2001,1,27,"debut"
"MBDC0201",643,"VIDA","http://www.biochem.ucl.ac.uk/bsm/virus⊣tabase/VIDA.html","no","not found","not_applicable","not_applicable",2001,32,"no",2001,1,32,"debut"
"MBDC0203",303,"Blocks database","http://www.blocks.fhcrc.org","yes","not_applicable","2007","not_applicable",1998,50,"yes",1996,5,497,"update"
"MBDC0204",768,"NCBI CDD: Conserved Domain Database","https://www.ncbi.nlm.nih.gov/Structure/cdd/cdd.shtml","yes","not_applicable","unknown","not_applicable",2002,446,"yes",2002,8,5537,"debut"
"MBDC0205",784,"CluSTr","http://www.ebi.ac.uk/clustr/","no","not found","not_applicable","not_applicable",2003,30,"no",2003,1,30,"debut"
"MBDC0207",1155,"EMBL-EBI InterPro","http://www.ebi.ac.uk/interpro","yes","not_applicable","2016","not_applicable",2005,376,"yes",2001,7,3743,"update"
"MBDC0208",432,"PIR IProClass","http://diana.uthct.edu/proclass.html","no","can't be reached","not_applicable","not_applicable",1999,8,"yes",1999,4,85,"debut"
"MBDC0209",151,"O-GLYCBASE","http://www.cbs.dtu.dk/netOglyc/cbsnetOglyc.html","no","not found","not_applicable","not_applicable",1996,23,"yes",1996,4,255,"debut"
"MBDC0210",681,"Pfam","http://www.sanger.ac.uk/Software/Pfam/","no","related generic reseach institution site redirect","not_applicable","Mirror fail; ; http://www.cgb.ki.se/Pfam/; http://pfam.jouy.inra.fr/; http:// pfam.wustl.edu/ both can't be reached",2002,1790,"yes",1998,11,14408,"update"
"MBDC0212",314,"PRINTS","http://www.biochem.ucl.ac.uk/bsm/dbbrowser/","yes","not_applicable","2009","not_applicable",1998,82,"yes",1994,8,837,"update"
"MBDC0214",424,"ProDom","http://www.toulouse.inra.fr/prodomCG.html","no","not found","not_applicable","not_applicable",1999,132,"no",1998,4,590,"update"
"MBDC0215",1343,"PROSITE","http://www.expasy.org/prosite/","yes","not_applicable","2017","not_applicable",2006,517,"yes",1991,13,5812,"update"
"MBDC0217",198,"SBASE","http://www.icgeb.trieste.it/sbase/","yes","not_applicable","2006","not_applicable",1997,19,"yes",1993,10,170,"update"
"MBDC0218",477,"SMART: Simple Modular Architecture Research Tool","http://SMART.embl-heidelberg.de","yes","not_applicable","unknown","not_applicable",2000,834,"yes",1999,8,4606,"update"
"MBDC0219",663,"SUPFAM","http://pauling.mbu.iisc.ernet.in/~supfam","no","not found","not_applicable","not_applicable",2002,37,"no",2002,1,37,"debut"
"MBDC0220",658,"SYSTERS: SYSTEmatic Re-Searching","http://cmb.molgen.mpg.de","no","related generic reseach institution site redirect","not_applicable","not_applicable",2002,51,"no",2000,3,149,"update"
"MBDC0221",452,"AAIndex: Amino Acid Index Database","http://www.genome.ad.jp/aaindex/","yes","not_applicable","2008","not_applicable",2000,358,"yes",1999,3,748,"update"
"MBDC0222",1023,"GELBANK","http://gelbank.anl.gov","no","can't be reached","not_applicable","not_applicable",2004,31,"no",2004,1,31,"debut"
"MBDC0223",1070,"EMBL-EBI Integr8","http://www.ebi.ac.uk/integr8","yes","not_applicable","2013","Access - Archived; Integr8 has now closed. The last release is archived at ftp://ftp.ebi.ac.uk/pub/databases/integr8.",2005,125,"yes",2005,1,125,"debut"
"MBDC0224",13,"REBASE: Restriction Enzymes and methylases dataBASE","Server","not_www","not_applicable","not_applicable","not_applicable",1991,34,"yes",1991,15,1202,"debut"
"MBDC0225",434,"SWISS-2DPAGE","http://www.expasy.ch/ch2d/","yes","not_applicable","2011","not_applicable",1999,12,"yes",1994,5,151,"update"
"MBDC0226",875,"MitoDrome","http://bighost.area.ba.cnr.it/BIG/MitoDrome","no","can't be reached","not_applicable","not_applicable",2003,33,"no",2003,1,33,"debut"
"MBDC0229",207,"RNA Mutations (Triman Database)","http://www.fandm.edu/Departments/Biology/Databases/RNA.html","yes","not_applicable","unknown","not_applicable",1997,10,"yes",1994,5,46,"update"
"MBDC0230",450,"5S rRNA Data Bank (Erdmann)","http://rose.man/poznan.pl/5SData/index.htm","no","can't be reached","not_applicable","not_applicable",2000,49,"yes",1991,7,254,"update"
"MBDC0231",584,"ACTIVITY","http://wwwmgs.bionet.nsc.ru/systems/Activity/","no","unrelated site redirect","not_applicable","not_applicable",2001,18,"no",2001,1,18,"debut"
"MBDC0232",1684,"ARED: Adenylate uridylate-Rich Elements Database","http://brp.kfshrc.edu.sa/ARED","yes","not_applicable","2013","not_applicable",2008,70,"yes",2001,4,711,"update"
"MBDC0242",497,"PseudoBase","http://wwwbio.LeidenUniv.nl/~Batenburg/PKB.html","no","can't be reached","not_applicable","Link; that is the URL as reported in the paper",2000,105,"no",2000,2,175,"debut"
"MBDC0243",1057,"RDP: Ribosomal Database Project","http://rdp.cme.msu.edu/","yes","not_applicable","2016","Naming; on changing host institutions it became RPD II but data carried over…",2005,946,"yes",1991,14,10183,"update"
"MBDC0245",236,"RNAMDB: RNA Modification Database","http://www-medlib.med.utah.edu/RNAmods/RNAmods.html","no","can't be reached","not_applicable","not_applicable",1997,15,"no",1996,5,621,"update"
"MBDC0246",556,"SELEX-DB","http://wwwmgs.bionet.nsc.ru/mgs/systems/selex/","yes","not_applicable","unknown","not_applicable",2000,14,"yes",2000,2,30,"debut"
"MBDC0248",831,"SRPDB: Signal Recognition Particle Database","http://bio.lundberg.gu.se/dbs/SRPDB/SRPDB.html","yes","not_applicable","unknown","Access - Failure Notes; just this very last mirror site still up",2003,89,"yes",1992,11,296,"update"
"MBDC0250",437,"tmRDB: tmRNA database","http://psyche.uthct.edu/dbs/tmRDB/tmRDB.html","no","not found","not_applicable","not_applicable",1999,9,"yes",1998,6,147,"update"
"MBDC0251",1887,"tRNAdb","http://trnadb.bioinf.uni-leipzig.de","yes","not_applicable","unknown","not_applicable",2009,304,"yes",2009,1,304,"debut"
"MBDC0252",1174,"UTRdb: UnTranslated Regions of eukaryotic mRNAs database","http://www.ba.itb.cnr.it/UTR/","no","not found","not_applicable","Other; not considering UTRsite separate",2005,115,"yes",1998,6,539,"update"
"MBDC0255",2684,"SCOPe","http://scop.berkeley.edu","yes","not_applicable","2015","Funding; Honest; SCOPe Funding Alert: SCOPe support from the NIH ended in April 2016. John-Marc Chandonia is the primary maintainer and has continued to develop SCOPe using vacation time. Three proposals to the NIH for continued funding have been unsuccessful. If our current NIH proposal is not funded, SCOPe will shut down permanently in Summer 2017 as Dr. Chandonia will need to seek a new position.",2014,97,"yes",2014,1,97,"debut"
"MBDC0257",1534,"BioMagResBank","http://www.bmrb.wisc.edu/","yes","not_applicable","2016","not_applicable",2008,542,"yes",2008,1,542,"debut"
"MBDC0258",855,"CATH: Class, Architecture, Topology, Homology","http://www.biochem.ucl.ac.uk/bsm/cath","yes","not_applicable","2016","not_applicable",2003,143,"yes",1999,10,1187,"update"
"MBDC0259",581,"CE: Combinatorial Extension","http://cl.sdsc.edu/ce.html","no","not found","not_applicable","not_applicable",2001,76,"no",2001,1,76,"debut"
"MBDC0262",807,"MolMovDB: Database of Macromolecular Motions","http://molmovdb.org/","no","can't be reached","not_applicable","not_applicable",2003,130,"yes",2003,2,235,"debut"
"MBDC0264",956,"DSDBASE","http://www.ncbs.res.in/~faculty/mini/dsdbase/dsdbase.html","no","not found","not_applicable","Disambiguation; maybe DiSulfide DataBASE?",2004,21,"no",2004,1,21,"debut"
"MBDC0267",465,"IMB Jena Image Library of Biological Macromolecules","http://www.imb-jena.de/IMAGE.html","no","not found","not_applicable","not_applicable",2000,16,"no",2000,2,53,"debut"
"MBDC0268",2839,"CMBI PDB related databases","http://swift.cmbi.ru.nl/gv/facilities/","yes","not_applicable","unknown","not_applicable",2015,49,"yes",2011,2,280,"update"
"MBDC0270",2290,"NCBI MMDB: Molecular Modeling DataBase","http://www.ncbi.nlm.nih.gov/structure","yes","not_applicable","2016","not_applicable",2012,59,"yes",1999,7,407,"update"
"MBDC0272",2719,"NDB: Nucleic Acid Database","http://ndbserver.rutgers.edu","yes","not_applicable","unknown","not_applicable",2014,23,"yes",2014,1,23,"debut"
"MBDC0274",650,"PALI","http://pauling.mbu.iisc.ernet.in/~pali","no","not found","not_applicable","not_applicable",2001,74,"no",2001,2,111,"debut"
"MBDC0275",668,"PASS2: Protein Alignments organised as Structural Superfamilies","http://www.ncbs.res.in/7Efaculty/mini/campass/pass.html","no","not found","not_applicable","not_applicable",2002,16,"yes",2002,3,26,"debut"
"MBDC0276",533,"RCSB PDB: Protein Data Bank","http://www.rcsb.org/pdb/","yes","not_applicable","2017","not_applicable",2000,16498,"yes",2000,9,17915,"debut"
"MBDC0277",605,"PDB-REPRDB","http://www.rwcp.or.jp/papia/","no","can't be reached","not_applicable","not_applicable",2001,57,"no",2001,2,127,"debut"
"MBDC0278",2759,"EMBL-EBI PDBsum","http://www.ebi.ac.uk/pdbsum","yes","not_applicable","2017","not_applicable",2014,96,"yes",2001,4,945,"update"
"MBDC0280",1008,"ProTherm","http://gibk26.bse.kyutech.ac.jp/jouhou/Protherm/protherm.html","no","can't be reached","not_applicable","not_applicable",2004,149,"no",1999,5,403,"update"
"MBDC0281",834,"PIR RESID","http://pir.georgetown.edu/pirwww/dbinfo/resid.html","no","not found","not_applicable","not_applicable",2003,32,"no",1999,4,57,"update"
"MBDC0282",700,"SCOP: Structural Classification of Proteins","http://scop.mrc-lmb.cam.ac.uk/scop","yes","not_applicable","2009","not_applicable",2002,384,"yes",1997,7,2578,"update"
"MBDC0285",2147,"SUPERFAMILY","http://supfam.org","yes","not_applicable","unknown","not_applicable",2011,74,"yes",2002,6,770,"update"
"MBDC0288",656,"BAliBASE: Benchmark Alignment dataBASE","http://www-igbmc.u-strasbg.fr/BioInfo/BAliBASE2/index.html","no","not found","not_applicable","not_applicable",2001,106,"no",2001,1,106,"debut"
"MBDC0292",2587,"UniCarbKB","http://unicarbkb.org","yes","not_applicable","unknown","not_applicable",2014,40,"yes",2014,1,40,"debut"
"MBDC0293",749,"HOX Pro DB","http://www.iephb.nw.ru/hoxpro","yes","not_applicable","unknown","not_applicable",2002,17,"yes",2000,2,34,"update"
"MBDC0294",1264,"IGC: Imprinted Gene Catalogue","www.otago.ac.nz/IGC","yes","not_applicable","unknown","not_applicable",2006,45,"yes",2001,2,218,"update"
"MBDC0296",309,"MPDB: Molecular Probe Data Base","http://www.biotech.ist.unige.it/interlab/mpdb.html","no","can't be reached","not_applicable","not_applicable",1998,2,"no",1992,6,19,"update"
