"db_id","resource_name","status","debut_yr","total_articles","total_citations","start","transition"
"MBDC0122","Atlas of Genetics and Cytogenetics in Oncology and Haematology","yes",1999,5,121,"online_start","online_only"
"MBDC0123","BTKbase: Bruton's agammaglobulinemia Tyrosine Kinase database","no",1996,3,126,"online_start","online_only"
"MBDC0123","BTKbase: Bruton's agammaglobulinemia Tyrosine Kinase database","no",1996,3,126,"offline_start","transitioned"
"MBDC0126","Germline p53 Mutations in Cancer Prone Families","no",1998,1,35,"online_start","online_only"
"MBDC0128","FLAGdb++","no",2004,1,44,"online_start","online_only"
"MBDC0130","Haemophilia B","no",1991,7,342,"online_start","online_only"
"MBDC0130","Haemophilia B","no",1991,7,342,"offline_start","transitioned"
"MBDC0131","GWAS Centeral ","yes",2000,4,286,"online_start","online_only"
"MBDC0136","Human PAX6 Mutation Database","no",1998,1,57,"online_start","online_only"
"MBDC0137","Human Collagen Mutation Database","yes",1997,2,326,"online_start","online_only"
"MBDC0138","KDBI: Kinetic Data of Biomolecular Interactions","yes",2003,2,36,"online_start","online_only"
"MBDC0139","KinMutBase","no",1999,2,23,"online_start","online_only"
"MBDC0143","OMIM: Online Mendelian Inheritance in Man","yes",1994,5,1766,"online_start","online_only"
"MBDC0144","PAH Mutation Analysis Consortium Database","no",1996,3,96,"online_start","online_only"
"MBDC0146","PMD: Protein Mutant Database","no",1999,1,86,"online_start","online_only"
"MBDC0152","MTB: Mouse Tumor Biology Database","yes",1999,5,67,"online_start","online_only"
"MBDC0154","PEDB: Prostate Expression Database","yes",1999,3,88,"online_start","online_only"
"MBDC0156","AARSDB: Aminoacyl-tRNA Synthetase Data Bank","yes",1999,3,30,"online_start","online_only"
"MBDC0160","RNA Helicase Database","yes",2011,1,23,"online_start","online_only"
"MBDC0162","ESTHER: ESTerases, alpha-beta Hydrolase Enzymes and Relatives","yes",1996,5,285,"online_start","online_only"
"MBDC0163","EXProt: EXperimentally verified PROTeins","no",2002,1,5,"online_start","online_only"
"MBDC0165","GenProtEC: Genes and proteins of Escherichia coli K-12","no",1996,4,148,"online_start","online_only"
"MBDC0166","GPCRDB: G Protein-Coupled Receptor Database","yes",1998,6,854,"online_start","online_only"
"MBDC0167","HDB: Histone Database","yes",1996,6,139,"online_start","online_only"
"MBDC0170","Homeodomain Resource","yes",1999,4,58,"online_start","online_only"
"MBDC0171","HUGE","yes",1999,4,162,"online_start","online_only"
"MBDC0172","IMGT: ImMunoGeneTics database","yes",1997,9,1370,"online_start","online_only"
"MBDC0173","EMBL-EBI IPD IMGT/HLA","yes",2001,5,1251,"online_start","online_only"
"MBDC0174","InBase: New England Biolabs Intein Database","no",1999,3,339,"online_start","online_only"
"MBDC0176","LGICdb: Ligand Gated Ion Channel database ","yes",1999,3,142,"online_start","online_only"
"MBDC0177","MEROPS","yes",1999,10,2774,"online_start","online_only"
"MBDC0181","MHCPEP: MHC-binding peptides","no",1994,4,249,"online_start","online_only"
"MBDC0181","MHCPEP: MHC-binding peptides","no",1994,4,249,"offline_start","transitioned"
"MBDC0182","NRR: Nuclear Receptor Resource","no",1997,2,22,"online_start","online_only"
"MBDC0184","ORDB: Olfactory Receptor Database","yes",1999,3,84,"online_start","online_only"
"MBDC0185","ooTFD: Object Oriented Transcription Factors Database","yes",1998,3,90,"online_start","online_only"
"MBDC0186","Peptaibol Database","yes",2004,1,79,"online_start","online_only"
"MBDC0187","ELM: Eukaryotic Linear Motif","yes",2010,4,489,"online_start","online_only"
"MBDC0189","PLANT-Pls","no",2002,1,80,"online_start","online_only"
"MBDC0194","PIR: Protein Identification Resouce","yes",1991,12,975,"offline_start","transitioned"
"MBDC0194","PIR: Protein Identification Resouce","yes",1991,12,975,"online_start","online_only"
"MBDC0195","Ribonuclease P Database","yes",1994,5,360,"online_start","online_only"
"MBDC0195","Ribonuclease P Database","yes",1994,5,360,"offline_start","transitioned"
"MBDC0196","SENTRA","no",2000,3,43,"online_start","online_only"
"MBDC0199","TIGRFAMs","yes",2001,4,617,"online_start","online_only"
"MBDC0200","Hits","yes",2001,1,27,"online_start","online_only"
"MBDC0201","VIDA","no",2001,1,32,"online_start","online_only"
"MBDC0203","Blocks database","yes",1996,5,497,"online_start","online_only"
"MBDC0204","NCBI CDD: Conserved Domain Database","yes",2002,8,5537,"online_start","online_only"
"MBDC0205","CluSTr","no",2003,1,30,"online_start","online_only"
"MBDC0207","EMBL-EBI InterPro","yes",2001,7,3743,"online_start","online_only"
"MBDC0208","PIR IProClass","yes",1999,4,85,"online_start","online_only"
"MBDC0209","O-GLYCBASE","yes",1996,4,255,"online_start","online_only"
"MBDC0210","Pfam","yes",1998,11,14408,"online_start","online_only"
"MBDC0212","PRINTS","yes",1994,8,837,"online_start","online_only"
"MBDC0212","PRINTS","yes",1994,8,837,"offline_start","transitioned"
"MBDC0214","ProDom","no",1998,4,590,"online_start","online_only"
"MBDC0215","PROSITE","yes",1991,13,5812,"online_start","online_only"
"MBDC0215","PROSITE","yes",1991,13,5812,"offline_start","transitioned"
"MBDC0217","SBASE","yes",1993,10,170,"online_start","online_only"
"MBDC0217","SBASE","yes",1993,10,170,"offline_start","transitioned"
"MBDC0218","SMART: Simple Modular Architecture Research Tool","yes",1999,8,4606,"online_start","online_only"
"MBDC0219","SUPFAM","no",2002,1,37,"online_start","online_only"
"MBDC0220","SYSTERS: SYSTEmatic Re-Searching","no",2000,3,149,"online_start","online_only"
"MBDC0221","AAIndex: Amino Acid Index Database","yes",1999,3,748,"online_start","online_only"
"MBDC0222","GELBANK","no",2004,1,31,"online_start","online_only"
"MBDC0223","EMBL-EBI Integr8","yes",2005,1,125,"online_start","online_only"
"MBDC0224","REBASE: Restriction Enzymes and methylases dataBASE","yes",1991,15,1202,"offline_start","transitioned"
"MBDC0224","REBASE: Restriction Enzymes and methylases dataBASE","yes",1991,15,1202,"online_start","online_only"
"MBDC0225","SWISS-2DPAGE","yes",1994,5,151,"online_start","online_only"
"MBDC0226","MitoDrome","no",2003,1,33,"online_start","online_only"
"MBDC0229","RNA Mutations (Triman Database)","yes",1994,5,46,"online_start","online_only"
"MBDC0229","RNA Mutations (Triman Database)","yes",1994,5,46,"offline_start","transitioned"
"MBDC0230","5S rRNA Data Bank (Erdmann)","yes",1991,7,254,"online_start","online_only"
"MBDC0230","5S rRNA Data Bank (Erdmann)","yes",1991,7,254,"offline_start","transitioned"
"MBDC0231","ACTIVITY","no",2001,1,18,"online_start","online_only"
"MBDC0232","ARED: Adenylate uridylate-Rich Elements Database","yes",2001,4,711,"online_start","online_only"
"MBDC0242","PseudoBase","no",2000,2,175,"online_start","online_only"
"MBDC0243","RDP: Ribosomal Database Project","yes",1991,14,10183,"online_start","online_only"
"MBDC0243","RDP: Ribosomal Database Project","yes",1991,14,10183,"offline_start","transitioned"
"MBDC0245","RNAMDB: RNA Modification Database","no",1996,5,621,"online_start","online_only"
"MBDC0246","SELEX-DB","yes",2000,2,30,"online_start","online_only"
"MBDC0248","SRPDB: Signal Recognition Particle Database","yes",1992,11,296,"online_start","online_only"
"MBDC0248","SRPDB: Signal Recognition Particle Database","yes",1992,11,296,"offline_start","transitioned"
"MBDC0250","tmRDB: tmRNA database","yes",1998,6,147,"online_start","online_only"
"MBDC0251","tRNAdb","yes",2009,1,304,"online_start","online_only"
"MBDC0252","UTRdb: UnTranslated Regions of eukaryotic mRNAs database","yes",1998,6,539,"online_start","online_only"
"MBDC0255","SCOPe","yes",2014,1,97,"online_start","online_only"
"MBDC0257","BioMagResBank","yes",2008,1,542,"online_start","online_only"
"MBDC0258","CATH: Class, Architecture, Topology, Homology","yes",1999,10,1187,"online_start","online_only"
"MBDC0259","CE: Combinatorial Extension","no",2001,1,76,"online_start","online_only"
"MBDC0262","MolMovDB: Database of Macromolecular Motions","yes",2003,2,235,"online_start","online_only"
"MBDC0264","DSDBASE","no",2004,1,21,"online_start","online_only"
"MBDC0267","IMB Jena Image Library of Biological Macromolecules","no",2000,2,53,"online_start","online_only"
"MBDC0268","CMBI PDB related databases","yes",2011,2,280,"online_start","online_only"
"MBDC0270","NCBI MMDB: Molecular Modeling DataBase","yes",1999,7,407,"online_start","online_only"
"MBDC0272","NDB: Nucleic Acid Database","yes",2014,1,23,"online_start","online_only"
"MBDC0274","PALI","no",2001,2,111,"online_start","online_only"
"MBDC0275","PASS2: Protein Alignments organised as Structural Superfamilies","yes",2002,3,26,"online_start","online_only"
"MBDC0276","RCSB PDB: Protein Data Bank","yes",2000,9,17915,"online_start","online_only"
"MBDC0277","PDB-REPRDB","no",2001,2,127,"online_start","online_only"
"MBDC0278","EMBL-EBI PDBsum","yes",2001,4,945,"online_start","online_only"
"MBDC0280","ProTherm","no",1999,5,403,"online_start","online_only"
"MBDC0281","PIR RESID","no",1999,4,57,"online_start","online_only"
"MBDC0282","SCOP: Structural Classification of Proteins","yes",1997,7,2578,"online_start","online_only"
"MBDC0285","SUPERFAMILY","yes",2002,6,770,"online_start","online_only"
"MBDC0288","BAliBASE: Benchmark Alignment dataBASE","no",2001,1,106,"online_start","online_only"
"MBDC0292","UniCarbKB","yes",2014,1,40,"online_start","online_only"
"MBDC0293","HOX Pro DB","yes",2000,2,34,"online_start","online_only"
"MBDC0294","IGC: Imprinted Gene Catalogue","yes",2001,2,218,"online_start","online_only"
"MBDC0296","MPDB: Molecular Probe Data Base","no",1992,6,19,"online_start","online_only"
"MBDC0296","MPDB: Molecular Probe Data Base","no",1992,6,19,"offline_start","transitioned"
"MBDC0297","NCBI Taxonomy","yes",2012,2,177,"online_start","online_only"
"MBDC0299","RIDOM","yes",2002,1,96,"online_start","online_only"
"MBDC0300","SWEET-DB","no",2002,1,62,"online_start","online_only"
"MBDC0303","VirOligo","yes",2002,1,14,"online_start","online_only"
"MBDC0304","WorfDB: Worm ORFeome DataBase","yes",2003,1,30,"online_start","online_only"
"MBDC0307","yMGV: yeast Microarray Global Viewer","no",2002,2,29,"online_start","online_only"
"MBDC0309","S/MARt DB","no",2002,1,47,"online_start","online_only"
"MBDC0311","TransportDB","yes",2004,2,353,"online_start","online_only"
"MBDC0312","trome","yes",2004,1,5,"online_start","online_only"
"MBDC0313","TropGENE-DB","yes",2004,2,24,"online_start","online_only"
"MBDC0314","TrSDB: TranScout Database","yes",2004,1,11,"online_start","online_only"
"MBDC0315","TTD: Therapeutic Target Database","yes",2002,5,496,"online_start","online_only"
"MBDC0316","UCSC Genome Browser Database","yes",2003,13,4500,"online_start","online_only"
"MBDC0318","Uniprot: Universal Protein Resource","yes",2004,12,7709,"online_start","online_only"
"MBDC0322","GTOP: Genomes TO Protein","yes",2002,2,79,"online_start","online_only"
"MBDC0324","HOWDY","no",2002,1,6,"online_start","online_only"
"MBDC0328","GeneDB","yes",2004,2,274,"online_start","online_only"
"MBDC0329","GeneNet","yes",2002,2,32,"online_start","online_only"
"MBDC0330","GenePaint.org","yes",2004,1,289,"online_start","online_only"
"MBDC0331","MODBASE","yes",2000,7,802,"online_start","online_only"
"MBDC0336","RiceGAAS","yes",2002,1,102,"online_start","online_only"
"MBDC0337","CORG: Comparative Regulatory Genomics","no",2003,2,58,"online_start","online_only"
"MBDC0338","EMBL-EBI ArrayExpress","yes",2003,7,1868,"online_start","online_only"
"MBDC0339","MEPD: Medaka Expression Pattern Database ","yes",2003,2,19,"online_start","online_only"
"MBDC0340","TRANSFAC","yes",1996,8,6114,"online_start","online_only"
"MBDC0341","TRANSPATH","yes",2003,2,146,"online_start","online_only"
"MBDC0342","YIDB: Yeast Intron DataBase","no",2000,1,34,"online_start","online_only"
"MBDC0345","TRANSCompel","yes",2002,1,88,"online_start","online_only"
"MBDC0350","GeneCards","no",2003,1,24,"online_start","online_only"
"MBDC0351","GPI: GenoPlante-Info","no",2003,1,24,"online_start","online_only"
"MBDC0352","HGT-DB: Horizontal Gene Transfer DataBase","no",2003,1,168,"online_start","online_only"
"MBDC0354","PEDANT","no",2003,4,215,"online_start","online_only"
"MBDC0355","PlantGDB: Genome DataBase","yes",2004,2,227,"online_start","online_only"
"MBDC0356","RTPrimerDB","yes",2003,3,332,"online_start","online_only"
"MBDC0357","SGD: Saccharomyces Genome Database","yes",1998,14,2094,"online_start","online_only"
"MBDC0358","SOURCE","yes",2003,1,333,"online_start","online_only"
"MBDC0359","ToxoDB","yes",2003,2,326,"online_start","online_only"
"MBDC0362","IARC p53 Database","no",1998,1,379,"online_start","online_only"
"MBDC0364","CSDBase: Cold Shock Domain","no",2002,1,12,"online_start","online_only"
"MBDC0365","HIVdb: HIV Drug Resistance Database","yes",1999,4,655,"online_start","online_only"
"MBDC0366","HORDE: Human Olfactory Receptor Data Explora-torium","no",2003,1,24,"online_start","online_only"
"MBDC0367","EMBL-EBI IPD: Immuno Polymorphism Database","yes",2005,4,518,"online_start","online_only"
"MBDC0368","Lipase Engineering Database","yes",2003,1,111,"online_start","online_only"
"MBDC0369","NPD: Nuclear Protein Database","yes",2003,1,67,"online_start","online_only"
"MBDC0371","PlantsP","yes",2001,2,70,"online_start","online_only"
"MBDC0372","SDAP: Structural Database of Allergenic Proteins","yes",2003,1,125,"online_start","online_only"
"MBDC0374","ASC: Active Sequences Collection","no",2003,1,22,"online_start","online_only"
"MBDC0375","NESbase: Nuclear Export Signal database ","yes",2003,1,155,"online_start","online_only"
"MBDC0376","NLSdb: Nuclear Localization Signals Database","no",2003,1,107,"online_start","online_only"
"MBDC0378","Database for Bacterial Group II Introns","no",2012,1,37,"online_start","online_only"
"MBDC0380","NCIR: Non-Canonical Interactions in known RNA structures","no",2000,2,160,"online_start","online_only"
"MBDC0381","ncRNAdb: Noncoding RNAs database","yes",1999,5,285,"online_start","online_only"
"MBDC0382","Rfam","yes",2003,6,2519,"online_start","online_only"
"MBDC0383","SubViral RNA","no",2003,1,23,"online_start","online_only"
"MBDC0384","CADB: Confrontation Angles Database","no",2003,1,10,"online_start","online_only"
"MBDC0386","DSMM: Database of Simulated Molecular Motions","yes",2003,1,9,"online_start","online_only"
"MBDC0389","EMBL-EBI GOA: Gene Ontology Annotation Database","yes",2004,3,954,"online_start","online_only"
"MBDC0390","ProbeBase","yes",2003,3,637,"online_start","online_only"
"MBDC0391","NCBI Reference Sequences: RefSeq","yes",2003,9,3655,"online_start","online_only"
"MBDC0392","PharmGKB","yes",2002,2,220,"online_start","online_only"
"MBDC0395","STCDB:  Signal Transduction Classification Database","no",2004,1,5,"online_start","online_only"
"MBDC0396","euGenes","yes",2002,1,36,"online_start","online_only"
"MBDC0399","VKCDB: Voltage-gated K+ Channel DataBase","yes",2011,1,10,"online_start","online_only"
"MBDC0403","ACLAME: A CLAssification of Mobile genetic Elements","yes",2004,2,180,"online_start","online_only"
"MBDC0408","APD: Antimicrobial Peptide Database","yes",2004,3,861,"online_start","online_only"
"MBDC0409","ApiEST-DB","no",2004,1,24,"online_start","online_only"
"MBDC0410","AppaDB","no",2004,1,4,"online_start","online_only"
"MBDC0411","Aptamer database","no",2004,1,129,"online_start","online_only"
"MBDC0413","ArchDB","yes",2004,2,66,"online_start","online_only"
"MBDC0415","ASAP: A Systematic Annotation Package","yes",2003,2,165,"online_start","online_only"
"MBDC0418","BGI-RIS: Beijing Genomics Institute Rice Information System","yes",2004,1,79,"online_start","online_only"
"MBDC0420","BioCyc","yes",2008,5,619,"online_start","online_only"
"MBDC0421","BRENDA: BRaunschweig ENzyme Database","yes",2002,7,1407,"online_start","online_only"
"MBDC0425","CADRE: Central Aspergillus Data Repository","yes",2004,2,76,"online_start","online_only"
"MBDC0427","CATMA: Complete Arabidopsis Transcriptome MicroArray","yes",2003,1,121,"online_start","online_only"
"MBDC0428","CCDB: CyberCell Database","no",2004,1,131,"online_start","online_only"
"MBDC0431","CGED: Cancer Gene Expression Database","no",2005,1,29,"online_start","online_only"
"MBDC0432","CleanEx","no",2004,2,33,"online_start","online_only"
"MBDC0434","CnidBase","no",2003,1,13,"online_start","online_only"
"MBDC0436","coliBASE","no",2004,1,52,"online_start","online_only"
"MBDC0439","CryptoDB: Cryptosporidium Genomics Resource","yes",2004,2,108,"online_start","online_only"
"MBDC0440","EMBL-EBI CSA: Catalytic Site Atlas","yes",2004,2,494,"online_start","online_only"
"MBDC0441","CYGD: Comprehensive Yeast Genome Database","no",2005,1,217,"online_start","online_only"
"MBDC0442","EMBL-EBI Dali","yes",1997,4,1184,"online_start","online_only"
"MBDC0444","DBSubLoc: Database of protein subcellular localization","no",2004,1,41,"online_start","online_only"
"MBDC0445","DEG: Database of Essential Genes","yes",2004,3,489,"online_start","online_only"
"MBDC0446","dictyBase","yes",2002,6,235,"online_start","online_only"
"MBDC0447","DisProt: Database of Protein Disorder ","yes",2007,1,473,"online_start","online_only"
"MBDC0448","Domlns: DOMain INSertion","no",2004,1,13,"online_start","online_only"
"MBDC0456","PDBe: Protein Data Bank in Europe","yes",2010,5,211,"online_start","online_only"
"MBDC0460","ERGDB: Estrogen Responsive Genes Database","no",2004,1,63,"online_start","online_only"
"MBDC0461","ERGO","yes",2003,1,171,"online_start","online_only"
"MBDC0463","European Ribosomal RNA Database","yes",1991,17,2134,"online_start","online_only"
"MBDC0463","European Ribosomal RNA Database","yes",1991,17,2134,"offline_start","transitioned"
"MBDC0464","EyeSite","yes",2004,1,4,"online_start","online_only"
"MBDC0465","FANTOM DB","yes",2002,2,68,"online_start","online_only"
"MBDC0467","Flytrap","no",2004,1,85,"online_start","online_only"
"MBDC0472","Gene3D","yes",2003,8,280,"online_start","online_only"
"MBDC0481","CMHD: Centre for Modeling Human Disease","yes",2004,1,24,"online_start","online_only"
"MBDC0483","Genolevures","no",2004,3,174,"online_start","online_only"
"MBDC0485","GermOnline","yes",2004,2,35,"online_start","online_only"
"MBDC0487","GO: Gene Ontology","yes",2004,7,3063,"online_start","online_only"
"MBDC0488","GrainGenes","yes",2003,1,59,"online_start","online_only"
"MBDC0489","GTD: Genomic Threading Database","yes",2004,1,30,"online_start","online_only"
"MBDC0490","GtRNAdb: Genomic tRNA Database","yes",2009,2,330,"online_start","online_only"
"MBDC0491","HbVar: Hemoglobin Variants ","yes",2004,2,285,"online_start","online_only"
"MBDC0492","hepatitis C sequence database in Los Alamos","yes",2008,1,54,"online_start","online_only"
"MBDC0493","Hembase","yes",2004,1,12,"online_start","online_only"
"MBDC0494","HemoPDB: Hematopoiesis Promoter Database","no",2004,1,9,"online_start","online_only"
"MBDC0495","HERVd: Human Endogenous RetroViruses database","yes",2002,2,76,"online_start","online_only"
"MBDC0498","HOMSTRAD","no",2004,1,59,"online_start","online_only"
"MBDC0500","HPRD: Human Protein Reference Database","yes",2004,3,2114,"online_start","online_only"
"MBDC0502","IMGT/3Dstructure-DB","yes",2004,2,182,"online_start","online_only"
"MBDC0503","IMGT/GENE-DB","no",2005,1,179,"online_start","online_only"
"MBDC0504","IMGT/LIGM-DB","no",2006,1,131,"online_start","online_only"
"MBDC0506","INFEVERS: INternet periodic FEVERS","yes",2003,1,92,"online_start","online_only"
"MBDC0508","EMBL-EBI IntEnz","yes",2004,1,93,"online_start","online_only"
"MBDC0510","InterDom","no",2003,1,104,"online_start","online_only"
"MBDC0516","JASPAR","yes",2004,6,2207,"online_start","online_only"
"MBDC0517","JSNP: Japanese Single Nucleotide Polymorphism","no",2002,1,214,"online_start","online_only"
"MBDC0518","KinG","no",2004,1,50,"online_start","online_only"
"MBDC0519","KNOTTIN","yes",2004,2,144,"online_start","online_only"
"MBDC0522","LIFEdb","yes",2004,2,59,"online_start","online_only"
"MBDC0525","MagnaportheDB","no",2002,1,28,"online_start","online_only"
"MBDC0526","MaizeGDB","yes",2004,3,143,"online_start","online_only"
"MBDC0527","MAtDB: MIPS Arabidopsis thaliana Database","no",2002,2,226,"online_start","online_only"
"MBDC0528","MBGD: MicroBial Genome Database for comparative analysis","yes",2003,5,215,"online_start","online_only"
"MBDC0529","miRBase","yes",2006,4,7672,"online_start","online_only"
"MBDC0532","MitoProteome","yes",2004,1,101,"online_start","online_only"
"MBDC0534","MolliGen","no",2004,1,53,"online_start","online_only"
"MBDC0536","MOsDB: MIPS Oryza sativa DataBase ","no",2003,1,16,"online_start","online_only"
"MBDC0539","MtDB: Medicago truncatula transcriptome DataBase","no",2003,1,39,"online_start","online_only"
"MBDC0541","NASCArrays","yes",2004,1,275,"online_start","online_only"
"MBDC0543","Helminth.net","yes",2015,1,15,"online_start","online_only"
"MBDC0544","NEMBASE","yes",2004,1,57,"online_start","online_only"
"MBDC0545","NetAffix","no",2003,1,395,"online_start","online_only"
"MBDC0546","NucleaRDB","no",2001,2,86,"online_start","online_only"
"MBDC0547","OGRe: Organellar Genome Retrieval","no",2003,1,74,"online_start","online_only"
"MBDC0548","OMIA: Online Mendelian Inheritance in Animals","no",2003,2,58,"online_start","online_only"
"MBDC0550","ORFDB: Open Reading Frame DataBase","yes",2004,1,13,"online_start","online_only"
"MBDC0552","PANTHER","yes",2003,6,1819,"online_start","online_only"
"MBDC0554","Pathbase","yes",2004,1,36,"online_start","online_only"
"MBDC0556","PEDE: Pig Expression Data Explorer","yes",2004,2,100,"online_start","online_only"
"MBDC0558","PEPR: Public Expression Profiling Resource","yes",2004,1,37,"online_start","online_only"
"MBDC0559","PGDB: Prostate Gene Database ","no",2003,1,43,"online_start","online_only"
"MBDC0560","PHYTOPROT","no",2004,1,12,"online_start","online_only"
"MBDC0561","PIRSF","no",2004,1,110,"online_start","online_only"
"MBDC0563","PlantProm","no",2003,1,122,"online_start","online_only"
"MBDC0564","Plant snoRNA database","no",2003,1,57,"online_start","online_only"
"MBDC0566","PRODORIC","yes",2003,2,168,"online_start","online_only"
"MBDC0567","ProtoNet","yes",2003,3,122,"online_start","online_only"
"MBDC0569","Rice PIPELINE","no",2004,1,34,"online_start","online_only"
"MBDC0570","RNAiDB","yes",2004,1,46,"online_start","online_only"
"MBDC0572","RPD: Rice Proteome Database","no",2004,1,60,"online_start","online_only"
"MBDC0573","RPG: Ribosomal Protein Gene database","no",2004,1,87,"online_start","online_only"
"MBDC0576","SCMD: Saccharomyces cerevisiae Morphological Database","yes",2004,1,52,"online_start","online_only"
