"db_id","resource_name","status","total_articles","total_citations","debut_yr","db_last_update","maintdiff","maint_aft_debut","quartile"
"MBDC0331","MODBASE","yes",7,802,2000,2013,13,1,2
"MBDC0119","ALFRED: Allele Frequency Database ","yes",4,144,2000,NA,NA,NA,3
"MBDC0293","HOX Pro DB","yes",2,34,2000,NA,NA,NA,4
"MBDC0246","SELEX-DB","yes",2,30,2000,NA,NA,NA,4
"MBDC0207","EMBL-EBI InterPro","yes",7,3743,2001,2017,16,1,1
"MBDC0043","rrnDB","yes",3,852,2001,2016,15,1,1
"MBDC0278","EMBL-EBI PDBsum","yes",4,945,2001,2017,16,1,1
"MBDC0232","ARED: Adenylate uridylate-Rich Elements Database","yes",4,711,2001,2013,12,1,2
"MBDC0097","TAIR: The Arabidopsis Information Resource","yes",4,1786,2001,2017,16,1,1
"MBDC0051","WormBase","yes",11,1142,2001,2017,16,1,2
"MBDC0075","JGI GOLD: Genomes OnLine Database","yes",6,1297,2001,2017,16,1,1
"MBDC0294","IGC: Imprinted Gene Catalogue","yes",2,218,2001,NA,NA,NA,2
"MBDC0199","TIGRFAMs","yes",4,617,2001,2014,13,1,1
"MBDC0047","STRBase: Short Tandem Repeat DNA Internet Database ","yes",1,142,2001,2017,16,1,1
"MBDC0173","EMBL-EBI IPD IMGT/HLA","yes",5,1251,2001,2017,16,1,1
"MBDC0046","SpliceDB","yes",1,137,2001,NA,NA,NA,2
"MBDC0101","ZFIN: Zebrafish Information Network","yes",6,616,2001,NA,NA,NA,2
"MBDC0091","PlasmoDB","yes",4,714,2001,2017,16,1,2
"MBDC0065","ARKdb","yes",1,50,2001,NA,NA,NA,3
"MBDC0019","MethDB: Methylation DataBase ","yes",2,78,2001,2009,8,1,3
"MBDC0371","PlantsP","yes",2,70,2001,2011,10,1,3
"MBDC0031","DBTBS: Database of Transcription in B. subtilis","yes",3,342,2001,2008,7,1,2
"MBDC0021","RECODE","yes",3,116,2001,NA,NA,NA,3
"MBDC0200","Hits","yes",1,27,2001,2017,16,1,3
"MBDC0045","rSNP Guide","yes",2,45,2001,NA,NA,NA,4
"MBDC0072","DB-AT: Database of Apicomplexan Transcriptomes","yes",5,73,2001,2014,13,1,4
"NAR9207","OrCGDB: Oral Cancer Gene Database","yes",1,12,2001,NA,NA,NA,4
"MBDC0603","NCBI GEO: Gene Expression Omnibus","yes",6,7262,2002,NA,NA,NA,1
"MBDC0027","Ensembl","yes",15,6128,2002,2016,14,1,1
"MBDC0204","NCBI CDD: Conserved Domain Database","yes",8,5537,2002,NA,NA,NA,1
"MBDC0421","BRENDA: BRaunschweig ENzyme Database","yes",7,1407,2002,2016,14,1,1
"MBDC0285","SUPERFAMILY","yes",6,770,2002,NA,NA,NA,1
"MBDC0114","MetaCyc","yes",8,1204,2002,2016,14,1,1
"MBDC0315","TTD: Therapeutic Target Database","yes",5,496,2002,NA,NA,NA,1
"MBDC0392","PharmGKB","yes",2,220,2002,NA,NA,NA,2
"MBDC0591","DBTSS: DataBase of Transcriptional Start Sites","yes",7,341,2002,2015,13,1,3
"MBDC0607","Gramene","yes",6,551,2002,2016,14,1,2
"MBDC0336","RiceGAAS","yes",1,102,2002,NA,NA,NA,2
"MBDC0299","RIDOM","yes",1,96,2002,2016,14,1,2
"MBDC0073","HGNC Genenames.org","yes",7,857,2002,2017,15,1,2
"MBDC0096","SubtiList","yes",1,88,2002,NA,NA,NA,2
"MBDC0345","TRANSCompel","yes",1,88,2002,2005,3,1,2
"MBDC0093","RGD: Rat Genome Database","yes",5,292,2002,2017,15,1,2
"MBDC0322","GTOP: Genomes TO Protein","yes",2,79,2002,2010,8,1,3
"MBDC0495","HERVd: Human Endogenous RetroViruses database","yes",2,76,2002,NA,NA,NA,3
"MBDC0465","FANTOM DB","yes",2,68,2002,2010,8,1,3
"MBDC0396","euGenes","yes",1,36,2002,2012,10,1,3
"NAR9250","READ: RIKEN Expression Array Database","yes",1,32,2002,2004,2,1,3
"MBDC0884","CG: Comparative Genometrics","yes",1,24,2002,2015,13,1,4
"MBDC0275","PASS2: Protein Alignments organised as Structural Superfamilies","yes",3,26,2002,NA,NA,NA,4
"MBDC0329","GeneNet","yes",2,32,2002,NA,NA,NA,4
"MBDC0303","VirOligo","yes",1,14,2002,2015,13,1,4
"MBDC0446","dictyBase","yes",6,235,2002,2017,15,1,3
"MBDC0316","UCSC Genome Browser Database","yes",13,4500,2003,2017,14,1,1
"MBDC0382","Rfam","yes",6,2519,2003,2017,14,1,1
"MBDC0582","STRING: Search Tool for the Retrieval of Interacting Genes","yes",7,6139,2003,2016,13,1,1
"MBDC0338","EMBL-EBI ArrayExpress","yes",7,1868,2003,2016,13,1,1
"MBDC0552","PANTHER","yes",6,1819,2003,2016,13,1,1
"MBDC0358","SOURCE","yes",1,333,2003,2015,12,1,1
"MBDC0390","ProbeBase","yes",3,637,2003,NA,NA,NA,1
"MBDC0461","ERGO","yes",1,171,2003,2014,11,1,1
"MBDC0356","RTPrimerDB","yes",3,332,2003,2006,3,1,2
"MBDC0375","NESbase: Nuclear Export Signal database ","yes",1,155,2003,2016,13,1,2
"MBDC0391","NCBI Reference Sequences: RefSeq","yes",9,3655,2003,2017,14,1,1
"MBDC0566","PRODORIC","yes",2,168,2003,2008,5,1,2
"MBDC0262","MolMovDB: Database of Macromolecular Motions","yes",2,235,2003,NA,NA,NA,2
"MBDC0359","ToxoDB","yes",2,326,2003,2017,14,1,1
"MBDC0372","SDAP: Structural Database of Allergenic Proteins","yes",1,125,2003,NA,NA,NA,2
"MBDC0427","CATMA: Complete Arabidopsis Transcriptome MicroArray","yes",1,121,2003,NA,NA,NA,2
"MBDC0415","ASAP: A Systematic Annotation Package","yes",2,165,2003,NA,NA,NA,2
"MBDC0368","Lipase Engineering Database","yes",1,111,2003,2009,6,1,2
"MBDC0506","INFEVERS: INternet periodic FEVERS","yes",1,92,2003,NA,NA,NA,2
"NAR9060","EMBL-EBI E-MSD: Macromolecular Structure Database","yes",4,253,2003,2016,13,1,3
"MBDC0528","MBGD: MicroBial Genome Database for comparative analysis","yes",5,215,2003,2015,12,1,3
"MBDC0578","Arabidopsis SeedGenes project","yes",1,72,2003,2010,7,1,2
"MBDC0369","NPD: Nuclear Protein Database","yes",1,67,2003,NA,NA,NA,3
"NAR9182","Mobile Group II Introns","yes",1,66,2003,NA,NA,NA,3
"MBDC0341","TRANSPATH","yes",2,146,2003,NA,NA,NA,2
"NAR9293","TMPDB","yes",1,60,2003,NA,NA,NA,3
"MBDC0488","GrainGenes","yes",1,59,2003,2017,14,1,3
"MBDC0567","ProtoNet","yes",3,122,2003,NA,NA,NA,3
"MBDC0304","WorfDB: Worm ORFeome DataBase","yes",1,30,2003,NA,NA,NA,3
"MBDC0138","KDBI: Kinetic Data of Biomolecular Interactions","yes",2,36,2003,NA,NA,NA,4
"MBDC0472","Gene3D","yes",8,280,2003,2016,13,1,3
"MBDC0339","MEPD: Medaka Expression Pattern Database ","yes",2,19,2003,NA,NA,NA,4
"MBDC0386","DSMM: Database of Simulated Molecular Motions","yes",1,9,2003,NA,NA,NA,4
"MBDC0583","SSD: Structure Superposition Database ","yes",1,6,2003,2016,13,1,4
"NAR9167","MetaFMF","yes",1,5,2003,NA,NA,NA,4
"MBDC0487","GO: Gene Ontology","yes",7,3063,2004,2016,12,1,2
"MBDC0318","Uniprot: Universal Protein Resource","yes",12,7709,2004,2017,13,1,1
"NAR9311","UMLS: Unified Medical Language System","yes",1,931,2004,2017,13,1,1
"MBDC0516","JASPAR","yes",6,2207,2004,2016,12,1,1
"MBDC0389","EMBL-EBI GOA: Gene Ontology Annotation Database","yes",3,954,2004,2016,12,1,1
"NAR9063","EMBL-EBI IntAct","yes",4,1884,2004,NA,NA,NA,1
"MBDC0440","EMBL-EBI CSA: Catalytic Site Atlas","yes",2,494,2004,2013,9,1,1
"MBDC0408","APD: Antimicrobial Peptide Database","yes",3,861,2004,2016,12,1,1
"MBDC0500","HPRD: Human Protein Reference Database","yes",3,2114,2004,2010,6,1,1
"MBDC0330","GenePaint.org","yes",1,289,2004,2016,12,1,1
"MBDC0541","NASCArrays","yes",1,275,2004,2014,10,1,1
"MBDC0585","SMR: SWISS-MODEL Repository","yes",3,1405,2004,2017,13,1,1
"MBDC0491","HbVar: Hemoglobin Variants ","yes",2,285,2004,2017,13,1,1
"MBDC0328","GeneDB","yes",2,274,2004,NA,NA,NA,1
"MBDC0445","DEG: Database of Essential Genes","yes",3,489,2004,2016,12,1,1
"MBDC0311","TransportDB","yes",2,353,2004,NA,NA,NA,1
"MBDC0526","MaizeGDB","yes",3,143,2004,2017,13,1,2
"MBDC0403","ACLAME: A CLAssification of Mobile genetic Elements","yes",2,180,2004,2013,9,1,2
"MBDC0532","MitoProteome","yes",1,101,2004,2016,12,1,2
"MBDC0355","PlantGDB: Genome DataBase","yes",2,227,2004,2012,8,1,2
"MBDC0508","EMBL-EBI IntEnz","yes",1,93,2004,NA,NA,NA,2
"MBDC0502","IMGT/3Dstructure-DB","yes",2,182,2004,2016,12,1,2
"MBDC0186","Peptaibol Database","yes",1,79,2004,NA,NA,NA,2
"MBDC0418","BGI-RIS: Beijing Genomics Institute Rice Information System","yes",1,79,2004,2010,6,1,2
"NAR9145","Islander","yes",2,84,2004,NA,NA,NA,2
"NAR9199","Nematode.net","yes",3,131,2004,NA,NA,NA,3
"MBDC0519","KNOTTIN","yes",2,144,2004,2014,10,1,2
"MBDC0765","AthaMap","yes",3,136,2004,2016,12,1,3
"MBDC0556","PEDE: Pig Expression Data Explorer","yes",2,100,2004,2014,10,1,3
"MBDC0544","NEMBASE","yes",1,57,2004,2010,6,1,3
"MBDC0413","ArchDB","yes",2,66,2004,2014,10,1,3
"MBDC0425","CADRE: Central Aspergillus Data Repository","yes",2,76,2004,2011,7,1,3
"MBDC0576","SCMD: Saccharomyces cerevisiae Morphological Database","yes",1,52,2004,2005,1,0,3
"NAR9286","SURFACE: SUrface Residues and Functions Annotated, Compared and Evaluated","yes",1,50,2004,NA,NA,NA,3
"MBDC0570","RNAiDB","yes",1,46,2004,2007,3,1,3
"MBDC0439","CryptoDB: Cryptosporidium Genomics Resource","yes",2,108,2004,2016,12,1,3
"MBDC0558","PEPR: Public Expression Profiling Resource","yes",1,37,2004,2017,13,1,3
"MBDC0554","Pathbase","yes",1,36,2004,NA,NA,NA,3
"MBDC0522","LIFEdb","yes",2,59,2004,NA,NA,NA,4
"MBDC0489","GTD: Genomic Threading Database","yes",1,30,2004,2016,12,1,4
"MBDC0481","CMHD: Centre for Modeling Human Disease","yes",1,24,2004,NA,NA,NA,4
"MBDC0485","GermOnline","yes",2,35,2004,2015,11,1,4
"NAR9131","HUGEppi","yes",1,20,2004,NA,NA,NA,4
"NAR9259","ROUGE","yes",1,20,2004,2006,2,1,4
"MBDC0313","TropGENE-DB","yes",2,24,2004,NA,NA,NA,4
"MBDC0550","ORFDB: Open Reading Frame DataBase","yes",1,13,2004,NA,NA,NA,4
"MBDC0493","Hembase","yes",1,12,2004,NA,NA,NA,4
"MBDC0314","TrSDB: TranScout Database","yes",1,11,2004,2004,0,0,4
"MBDC0586","TcruziDB","yes",2,32,2004,2017,13,1,4
"MBDC0312","trome","yes",1,5,2004,NA,NA,NA,4
"NAR9300","trEST","yes",1,5,2004,NA,NA,NA,4
"NAR9301","trGEN","yes",1,5,2004,NA,NA,NA,4
"MBDC0464","EyeSite","yes",1,4,2004,NA,NA,NA,4
"MBDC0612","Reactome","yes",5,2107,2005,2017,12,1,1
"MBDC0668","NCBI Entrez Gene","yes",3,1243,2005,2016,11,1,1
"MBDC0690","InParanoid","yes",4,972,2005,2013,8,1,1
"MBDC0619","PDBTM: Protein Data Bank TransMembrane","yes",2,259,2005,2017,12,1,1
"MBDC0640","ASRP: Arabidopsis Small RNA Project Database","yes",2,216,2005,NA,NA,NA,2
"MBDC0760","VFDB: Virulence Factor Database ","yes",4,375,2005,2017,12,1,2
"MBDC0705","NONCODE","yes",5,541,2005,2016,11,1,2
"MBDC0633","3did: 3D Interacting Domains","yes",4,318,2005,2016,11,1,2
"MBDC0223","EMBL-EBI Integr8","yes",1,125,2005,2013,8,1,2
"NAR9274","SilkDB: Silkworm Knowledgebase","yes",2,256,2005,NA,NA,NA,2
"MBDC0367","EMBL-EBI IPD: Immuno Polymorphism Database","yes",4,518,2005,NA,NA,NA,2
"MBDC0757","TRED: Transcriptional Regulatory Element Database","yes",2,280,2005,NA,NA,NA,1
"MBDC0630","RNAdb","yes",2,221,2005,2012,7,1,2
"MBDC0734","PSORTdb","yes",3,158,2005,2016,11,1,2
"MBDC0745","SPD: Secreted Protein Database","yes",1,103,2005,2006,1,0,2
"MBDC0784","Vega: Vertebrate Genome Annotation","yes",3,276,2005,2017,12,1,2
"MBDC0733","PGD: Pseudomonas Genome Database","yes",4,616,2005,2017,12,1,1
"MBDC0626","SNPeffect","yes",3,198,2005,NA,NA,NA,2
"MBDC0700","MAPPER","yes",2,97,2005,2013,8,1,3
"MBDC0680","HAGR: Human Ageing Genomic Resources","yes",2,222,2005,NA,NA,NA,2
"MBDC0621","VBASE2","yes",1,76,2005,2008,3,1,2
"MBDC0645","CGD: Candida Genome Database","yes",5,273,2005,2016,11,1,2
"MBDC0599","BarleyBase","yes",1,69,2005,2013,8,1,2
"NAR9054","DHS: Dictionary of Homologous Superfamilies","yes",1,69,2005,2004,-1,0,2
"MBDC0717","PDBSite","yes",1,60,2005,2014,9,1,2
"MBDC0738","RARGE: RIKEN Arabidopsis Genome Encyclopedia","yes",1,60,2005,NA,NA,NA,2
"MBDC0080","LIS: Legume Information System","yes",2,59,2005,2016,11,1,2
"MBDC0662","Diatom EST: Expressed Sequence Tag Database","yes",2,99,2005,NA,NA,NA,3
"MBDC0697","L1Base","yes",1,56,2005,NA,NA,NA,2
"MBDC0613","EzCatDB: Enzyme Catalytic-mechanism Database","yes",2,56,2005,2016,11,1,2
"MBDC0637","AMPDB: Arabidopsis Mitochondrial Protein Database","yes",1,52,2005,2004,-1,0,2
"MBDC0617","CandidaDB","yes",2,67,2005,2004,-1,0,3
"MBDC0638","AtNoPDB: Arabidopsis Nucleolar Protein DataBase","yes",1,51,2005,NA,NA,NA,3
"MBDC0667","ECgene: EST Clustering","yes",2,69,2005,NA,NA,NA,3
"MBDC0704","NMPdb","yes",1,42,2005,NA,NA,NA,3
"MBDC0629","siRNAdb","yes",1,39,2005,NA,NA,NA,3
"MBDC0751","TAED: The Adaptive Evolution Database","yes",1,39,2005,NA,NA,NA,3
"MBDC0671","FunShift: Functional Shift","yes",1,38,2005,NA,NA,NA,3
"MBDC0641","BacMap","yes",2,36,2005,NA,NA,NA,4
"MBDC0647","ChickVD","yes",1,28,2005,2006,1,0,3
"MBDC0713","Organelle DB","yes",2,50,2005,NA,NA,NA,3
"MBDC0649","<MDS-ies-db>","yes",2,25,2005,2015,10,1,3
"MBDC0714","PA-GOSUB: Proteome Analyst - Gene Ontology molecular function and Subcellular localization","yes",1,22,2005,NA,NA,NA,4
"MBDC0746","SpliceInfo","yes",1,22,2005,NA,NA,NA,4
"MBDC0730","PROPHECY: PROfiling of PHEnotypic Characteristics in Yeast","yes",2,37,2005,2012,7,1,4
"MBDC0744","SilkSatDb","yes",1,21,2005,NA,NA,NA,4
"MBDC0763","YRC PDR: Yeast Resource Center Public Data Repository","yes",1,21,2005,NA,NA,NA,4
"MBDC0663","DoOp: Databases of Orthologous Promoters","yes",1,18,2005,NA,NA,NA,4
"MBDC0635","AGD: Ashbya Genome Database","yes",1,16,2005,2006,1,0,4
"MBDC0785","STING","yes",1,14,2005,NA,NA,NA,4
"MBDC0731","DynaProt 2D","yes",1,11,2005,NA,NA,NA,4
"MBDC0715","PartiGeneDB","yes",1,9,2005,NA,NA,NA,4
"NAR9266","SaRAD ","yes",1,9,2005,NA,NA,NA,4
"MBDC0755","TPMD: Taiwan Polymorphic Marker Database","yes",1,2,2005,NA,NA,NA,4
"MBDC0529","miRBase","yes",4,7672,2006,2014,8,1,1
"MBDC0800","BioGRID Interaction Database","yes",5,2977,2006,2016,10,1,1
"MBDC0811","DrugBank","yes",4,3203,2006,2016,10,1,1
"MBDC0801","EMBL-EBI BioModels Database","yes",2,449,2006,2016,10,1,1
"MBDC0790","TCDB: Transporter Classification Database","yes",4,768,2006,NA,NA,NA,1
"MBDC0832","ISfinder","yes",1,371,2006,NA,NA,NA,1
"MBDC0792","YEASTRACT: YEAst Search for Transcriptional Regulators And Consensus Tracking","yes",4,613,2006,NA,NA,NA,1
"MBDC0851","PeptideAtlas","yes",1,315,2006,2017,11,1,1
"MBDC0828","JGI IMG: Integrated Microbial Genomes","yes",8,1478,2006,2017,11,1,1
"MBDC0875","TreeFam","yes",3,401,2006,2013,7,1,1
"MBDC0898","Pathguide","yes",1,231,2006,2013,7,1,1
"MBDC0869","snoRNA-LBME-db","yes",1,224,2006,2007,1,0,1
"MBDC0824","mtDB: Human Mitochondrial Genome Database","yes",1,213,2006,NA,NA,NA,1
"MBDC1260","PSI KB: Protein Structure Initiative Knowledgebase","yes",2,249,2006,2017,11,1,2
"MBDC0843","Plant MPSS: Massively Parallel Signature Sequencing","yes",1,183,2006,NA,NA,NA,1
"MBDC0857","EMBL-EBI PRIDE: PRoteomics IDEntifications","yes",5,1470,2006,2017,11,1,1
"MBDC0860","RAP-DB: Rice Annotation Project Database","yes",2,350,2006,2016,10,1,1
"MBDC0895","miRNAMap","yes",2,262,2006,2007,1,0,2
"MBDC0885","dbPTM: Database of Post-Translational Modifications","yes",3,190,2006,NA,NA,NA,2
"MBDC0807","DBD: DNA-binding domain","yes",2,257,2006,2011,5,1,2
"MBDC0861","RMD: Rice Mutant Database","yes",1,110,2006,NA,NA,NA,2
"MBDC0840","MODOMICS","yes",3,491,2006,NA,NA,NA,2
"MBDC0827","IGTC: International Gene Trap Consortium Website","yes",1,105,2006,2017,11,1,2
"MBDC0761","VIPERdb","yes",2,255,2006,NA,NA,NA,2
"MBDC0852","PHI-base: Pathogen Host Interactions database","yes",3,198,2006,2016,10,1,2
"MBDC0871","StellaBase","yes",2,99,2006,NA,NA,NA,3
"MBDC0876","UCSC Archaeal Genome Browser","yes",2,126,2006,NA,NA,NA,2
"MBDC0805","cisRED","yes",1,72,2006,2009,3,1,2
"MBDC0836","LOCATE","yes",2,149,2006,NA,NA,NA,2
"MBDC0812","EMAGE: Edinburgh Mouse Atlas of Gene Expression","yes",4,186,2006,2016,10,1,3
"MBDC0802","CAGE: Cap-analysis Gene Expression Basic/Analysis Databases","yes",1,64,2006,2007,1,0,2
"MBDC0817","FlyRNAi","yes",2,80,2006,NA,NA,NA,3
"MBDC0820","GRSDB: G-Rich Sequences Database","yes",2,110,2006,NA,NA,NA,3
"MBDC0821","HOLLYWOOD","yes",1,54,2006,NA,NA,NA,3
"MBDC0872","TED: Tomato Expression Database","yes",2,93,2006,NA,NA,NA,3
"MBDC0804","ChloroplastDB","yes",1,47,2006,2007,1,0,3
"MBDC0819","GLIDA: GPCR-LIgand Database","yes",2,131,2006,2010,4,1,2
"MBDC0849","Panzea","yes",2,66,2006,NA,NA,NA,3
"MBDC0873","TGD: Tetrahymena Genome Database","yes",1,47,2006,2017,11,1,3
"MBDC0795","ABS: Annotated regulatory Binding Sites","yes",1,46,2006,2006,0,0,3
"MBDC0903","Super Natural","yes",2,59,2006,NA,NA,NA,3
"MBDC0848","OryGenesDB","yes",2,71,2006,2011,5,1,3
"MBDC0813","Epitome","yes",1,44,2006,NA,NA,NA,3
"NAR9200","NPInter","yes",2,75,2006,2015,9,1,3
"MBDC0608","PANDIT","yes",1,43,2006,2005,-1,0,3
"MBDC0791","YGOB: Yeast Gene Order Browser","yes",1,43,2006,2012,6,1,3
"MBDC0831","IRESite: Internal Ribosome Entry Site","yes",2,91,2006,2015,9,1,3
"MBDC0846","ODB: Operon DataBase","yes",2,52,2006,NA,NA,NA,4
"MBDC0835","LMPD: LIPID MAPS Proteome Database","yes",1,39,2006,NA,NA,NA,3
"MBDC0814","EROP-Moscow: Endogenous Regulatory OligoPeptides","yes",1,33,2006,2016,10,1,3
"MBDC0867","SIMAP: SImilarity MAtrix of Proteins","yes",4,93,2006,2015,9,1,3
"MBDC0793","CTGA: Catalogue of Transmission Genetics in Arabs","yes",1,30,2006,NA,NA,NA,3
"MBDC0786","BIOZON","yes",1,29,2006,NA,NA,NA,4
"MBDC0862","RNAi Codex","yes",1,27,2006,2009,3,1,4
"MBDC0803","ChimerDB","yes",2,67,2006,NA,NA,NA,3
"MBDC0810","DPVweb: Database of Plant Viruses","yes",1,25,2006,NA,NA,NA,4
"MBDC0874","TIGR Maize Database","yes",1,23,2006,2007,1,0,4
"MBDC0865","ShiBASE","yes",1,19,2006,2014,8,1,4
"MBDC0808","DBTGR: Databse of Trunicate Gene Regulation","yes",1,17,2006,NA,NA,NA,4
"MBDC0789","NURSA: Nuclear Receptor Signaling Atlas","yes",1,15,2006,NA,NA,NA,4
"NAR9091","FSN: Flexible Structural Neighborhood","yes",1,12,2006,NA,NA,NA,4
