"db_id","article_id","resource_name","access","available","unavailable_message","available_update_date","notes","article_year","citations","status","debut_yr","total_articles","total_citations","article_status","issue_rank","issue_percent_rank","ave_issue_percent_rank","quartile"
"NAR9129",39,"HSSP: Homology-Derived Structures of Proteins","Physical; Server","not_www","not_applicable","not_applicable","Naming; derived from Protein Data Bank; acronym doubled checked",1993,51,"no",1993,5,338,"debut",13,0.458333333333333,0.634571740316421,2
"MBDC0109",41,"ENZYME Data Bank","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1993,50,"yes",1993,5,675,"debut",15,0.375,0.581345755693582,2
"MBDC0194",58,"PIR: Protein Identification Resouce","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1993,50,"yes",1991,12,975,"update",14,0.416666666666667,0.557221018603154,2
"MBDC0130",40,"Haemophilia B","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1993,48,"no",1991,7,342,"update",16,0.333333333333333,0.513014440278078,2
"MBDC0224",60,"REBASE: Restriction Enzymes and methylases dataBASE","Server","not_www","not_applicable","not_applicable","not_applicable",1993,44,"yes",1991,15,1202,"update",17,0.291666666666667,0.591967837744961,2
"NAR9095",44,"GDB: Genome Data Base","Server","not_www","not_applicable","not_applicable","Access - Other; lots of access mechanisms",1993,38,"no",1991,7,302,"update",18,0.25,0.469727646995284,3
"NAR9067",61,"ECD: Escherichia coli database","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1993,21,"never_www",1991,4,75,"update",19,0.208333333333333,0.21374269005848,4
"MBDC0248",53,"SRPDB: Signal Recognition Particle Database","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1993,18,"yes",1992,11,296,"update",20,0.166666666666667,0.302306008498003,3
"MBDC0217",50,"SBASE","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1993,14,"yes",1993,10,170,"debut",21,0.125,0.23189982391478,4
"NAR9157",57,"LISTA","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1993,9,"no",1993,3,17,"debut",22,0.0833333333333334,0.0742063492063492,4
"NAR9277",55,"Small RNA database (Reddy)","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1993,4,"no",1991,7,56,"update",23,0.0416666666666666,0.110248504317453,4
"MBDC0296",45,"MPDB: Molecular Probe Data Base","Server","not_www","not_applicable","not_applicable","not_applicable",1993,3,"no",1992,6,19,"update",24,0,0.031561462986435,4
"NAR9212",92,"p53 Mutations in Human Tumors Database","Server","not_www","not_applicable","not_applicable","not_applicable",1994,765,"never_www",1994,3,1348,"debut",1,0.975,0.948168498168498,1
"MBDC0243",64,"RDP: Ribosomal Database Project","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1994,604,"yes",1991,14,10183,"update",2,0.95,0.931404101322359,1
"NAR9278",74,"small subunit (16S- and 16S-like) ribosomal RNA structures","http://pundit.colorado.edu:8080/RNA/16S/16s.html","no","can't be reached","not_applicable","Other; says that it complements the effort of the RDP",1994,318,"no",1993,2,508,"update",3,0.925,0.816666666666667,1
"NAR9275",96,"Site Specific Methylation","Physical","not_www","not_applicable","not_applicable","not_applicable",1994,302,"never_www",1991,4,465,"update",4,0.9,0.631615497076023,2
"NAR9092",72,"FSSP: Families of Structurally Similar Proteins","Server","not_www","not_applicable","not_applicable","not_applicable",1994,271,"no",1994,2,475,"debut",5,0.875,0.883928571428571,1
"NAR9288",73,"SWISS-PROT","http://expasy.hcuge.ch/","yes","not_applicable","2017","not_applicable",1994,196,"yes",1991,10,5258,"update",6,0.85,0.897130826366183,1
"MBDC0215",81,"PROSITE","http://expasy.hcuge.ch/","yes","not_applicable","2017","not_applicable",1994,183,"yes",1991,13,5812,"update",7,0.825,0.918518412266522,1
"MBDC0003",75,"NCBI Genbank","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1994,162,"yes",1991,24,7582,"update",8,0.8,0.846557240465988,1
"MBDC0463",93,"European Ribosomal RNA Database","Server","not_www","not_applicable","not_applicable","Naming; small ribosomal subunit RNA (De Wachter); Users of the database are requested to cite this paper.",1994,155,"yes",1991,17,2134,"update",9,0.775,0.71381754248527,2
"NAR9210",82,"OWL","http://www.gdb.org/Dan/proteins/owl.html","no","unrelated site redirect","not_applicable","not_applicable",1994,122,"no",1994,1,122,"debut",10,0.75,0.75,2
"NAR9113",84,"Group 1 Intron Database","http://pundit.colorado.edu:8080/RNA/GRPI/introns.html","no","can't be reached","not_applicable","not_applicable",1994,119,"no",1994,1,119,"debut",11,0.725,0.725,2
"MBDC0212",65,"PRINTS","Physical; Server","not_www","not_applicable","not_applicable","Naming; name comes from fingerPRINTS",1994,98,"yes",1994,8,837,"debut",12,0.7,0.66903431961477,2
"MBDC0463",88,"European Ribosomal RNA Database","Server","not_www","not_applicable","not_applicable","Naming; large ribosomal subunit RNA database (De Wachter)",1994,80,"yes",1991,17,2134,"update",13,0.675,0.71381754248527,2
"NAR9119",103,"HAMSTeRS: Haemophilia A Mutation Structure Test and Resource Site","Supplement","not_www","not_applicable","not_applicable","Naming; preoffical naming as HAMSTeRS",1994,71,"no",1994,4,310,"debut",14,0.65,0.643802606967501,2
"NAR9095",62,"GDB: Genome Data Base","Server","not_www","not_applicable","not_applicable","not_applicable",1994,63,"no",1991,7,302,"update",15,0.625,0.469727646995284,3
"MBDC0143",100,"OMIM: Online Mendelian Inheritance in Man","omim.gdb.org","no","can't be reached","not_applicable","not_applicable",1994,52,"yes",1994,5,1766,"debut",16,0.6,0.83479183109708,1
"MBDC0130",66,"Haemophilia B","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1994,44,"no",1991,7,342,"update",17,0.575,0.513014440278078,2
"MBDC0181",87,"MHCPEP: MHC-binding peptides","Server","not_www","not_applicable","not_applicable","not_applicable",1994,41,"no",1994,4,249,"debut",19,0.525,0.554673252279635,2
"NAR9052",90,"DEF: Database of Expected Fold-classes","Physical; Server","not_www","not_applicable","not_applicable","Access - Other; net-node number is 193.174.48.50",1994,41,"no",1994,2,48,"debut",18,0.55,0.328846153846154,3
"MBDC0194",102,"PIR: Protein Identification Resouce","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1994,39,"yes",1991,12,975,"update",20,0.5,0.557221018603154,2
"MBDC0120",95,"Androgen Receptor Gene Mutations Database","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1994,35,"no",1994,4,241,"debut",21,0.475,0.618386135141454,2
"MBDC0224",78,"REBASE: Restriction Enzymes and methylases dataBASE","Server","not_www","not_applicable","not_applicable","not_applicable",1994,33,"yes",1991,15,1202,"update",22,0.45,0.591967837744961,2
"MBDC0109",86,"ENZYME Data Bank","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1994,31,"yes",1993,5,675,"update",23,0.425,0.581345755693582,2
"MBDC0217",89,"SBASE","http://www.icgeb.trieste.it","no","related generic reseach institution site redirect","not_applicable","not_applicable",1994,29,"yes",1993,10,170,"update",24,0.4,0.23189982391478,4
"NAR9129",70,"HSSP: Homology-Derived Structures of Proteins","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1994,28,"no",1993,5,338,"update",25,0.375,0.634571740316421,2
"NAR9211",79,"p53 Gene Mutations Database","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1994,28,"no",1994,4,227,"debut",26,0.35,0.493172784662146,3
"NAR9067",98,"ECD: Escherichia coli database","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1994,27,"never_www",1991,4,75,"update",27,0.325,0.21374269005848,4
"MBDC0071",85,"FlyBase","Server","not_www","not_applicable","not_applicable","not_applicable",1994,23,"yes",1994,17,2876,"debut",28,0.3,0.728262508297606,2
"MBDC0195",76,"Ribonuclease P Database","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1994,23,"yes",1994,5,360,"debut",29,0.275,0.416261008495051,3
"NAR9012",91,"Antithrombin III","Physical","not_www","not_applicable","not_applicable","not_applicable",1994,20,"never_www",1994,1,20,"debut",30,0.25,0.25,4
"MBDC0048",97,"TransTerm","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1994,17,"yes",1993,10,250,"update",32,0.2,0.3184937498807,3
"MBDC0225",71,"SWISS-2DPAGE","http://expasy.hcuge.ch/","yes","not_applicable","2011","not_applicable",1994,17,"yes",1994,5,151,"debut",31,0.225,0.367281837804502,3
"NAR9128",80,"HPRT Mutant Database","Server","not_www","not_applicable","not_applicable","not_applicable",1994,12,"never_www",1994,1,12,"debut",33,0.175,0.175,4
"NAR9277",67,"Small RNA database (Reddy)","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1994,7,"no",1991,7,56,"update",34,0.15,0.110248504317453,4
"MBDC0229",68,"RNA Mutations (Triman Database)","Server","not_www","not_applicable","not_applicable","not_applicable",1994,6,"yes",1994,5,46,"debut",35,0.125,0.179171148000935,4
"MBDC0248",69,"SRPDB: Signal Recognition Particle Database","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1994,5,"yes",1992,11,296,"update",36,0.1,0.302306008498003,3
"MBDC0296",77,"MPDB: Molecular Probe Data Base","Server","not_www","not_applicable","not_applicable","not_applicable",1994,4,"no",1992,6,19,"update",37,0.075,0.031561462986435,4
"NAR9157",101,"LISTA","Server","not_www","not_applicable","not_applicable","not_applicable",1994,3,"no",1993,3,17,"update",38,0.05,0.0742063492063492,4
"NAR9111",63,"GRBase: Gene Regulation Database","Server","not_www","not_applicable","not_applicable","not_applicable",1994,2,"no",1994,2,3,"debut",39,0.025,0.0214285714285715,4
"NAR9328",94,"Yale Mutation Databases","Server","not_www","not_applicable","not_applicable","not_applicable",1994,2,"no",1994,4,16,"debut",40,0,0.0611190671031096,4
"MBDC0340",145,"TRANSFAC","http://transfac.gbf-braunschweig.de","no","can't be reached","not_applicable","not_applicable",1996,627,"yes",1996,8,6114,"debut",1,0.982142857142857,0.941000951161246,1
"MBDC0243",121,"RDP: Ribosomal Database Project","http://rdpwww.life.uiuc.edu/","no","can't be reached","not_applicable","not_applicable",1996,428,"yes",1991,14,10183,"update",2,0.964285714285714,0.931404101322359,1
"NAR9212",128,"p53 Mutations in Human Tumors Database","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1996,323,"never_www",1994,3,1348,"update",3,0.946428571428571,0.948168498168498,1
"NAR9288",158,"SWISS-PROT","http://expasy.hcuge.ch","yes","not_applicable","2017","not_applicable",1996,272,"yes",1991,10,5258,"update",4,0.928571428571429,0.897130826366183,1
"MBDC0215",125,"PROSITE","http://expasy.hcuge.ch/","yes","not_applicable","2017","not_applicable",1996,261,"yes",1991,13,5812,"update",5,0.910714285714286,0.918518412266522,1
"NAR9092",106,"FSSP: Families of Structurally Similar Proteins","http://www.embl-heidelberg.de/dali/fssp/","no","not found","not_applicable","not_applicable",1996,204,"no",1994,2,475,"update",6,0.892857142857143,0.883928571428571,1
"NAR9014",138,"APC Gene","Physical","not_www","not_applicable","not_applicable","not_applicable",1996,157,"no",1996,3,274,"debut",7,0.875,0.589593562465903,2
"NAR9042",131,"Compilation of tRNA sequences and sequences of tRNA genes","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1996,142,"no",1991,5,1401,"update",8,0.857142857142857,0.824792299898683,1
"MBDC0003",134,"NCBI Genbank","http://www.ncbi.nlm.nih.gov/","yes","not_applicable","2017","not_applicable",1996,116,"yes",1991,24,7582,"update",9,0.839285714285714,0.846557240465988,1
"MBDC0084",136,"MITOMAP","http://www.gen.emory.edu/mitomap.html","no","can't be reached","not_applicable","not_applicable",1996,80,"yes",1996,5,814,"debut",10,0.821428571428571,0.771062979573618,1
"MBDC0108",157,"EcoCyc","http://www.ai.sri.com/ecocyc/ecocyc.html","no","forbidden","not_applicable","not_applicable",1996,76,"yes",1996,10,1916,"debut",11,0.803571428571429,0.758325888756542,1
"MBDC0203",112,"Blocks database","http://blocks.fhcrc.org/help","yes","not_applicable","2007","not_applicable",1996,76,"yes",1996,5,497,"debut",12,0.785714285714286,0.692218370590248,2
"NAR9076",105,"EMP: Enzymes and Metabolic Pathways Database","Server","not_www","not_applicable","not_applicable","not_applicable",1996,70,"never_www",1996,1,70,"debut",13,0.767857142857143,0.767857142857143,1
"MBDC0194",122,"PIR: Protein Identification Resouce","http://www.mips.biochem.mpg.de/","no","can't be reached","not_applicable","not_applicable",1996,56,"yes",1991,12,975,"update",15,0.732142857142857,0.557221018603154,2
"NAR9129",118,"HSSP: Homology-Derived Structures of Proteins","http://www.sander.embl-heidelberg.de/","no","can't be reached","not_applicable","not_applicable",1996,56,"no",1993,5,338,"update",14,0.75,0.634571740316421,2
"MBDC0030",142,"CUTG: Codon Usage Tabulated from GenBank","http://tisun4a.lab.nig.ac.jp/codon/CUTG.html","no","can't be reached","not_applicable","not_applicable",1996,54,"yes",1991,7,1157,"update",16,0.714285714285714,0.765816650309566,1
"MBDC0109",123,"ENZYME Data Bank","http://expasy.hcuge.ch/","yes","not_applicable","2016","not_applicable",1996,47,"yes",1993,5,675,"update",18,0.678571428571429,0.581345755693582,2
"NAR9329",176,"YPD: Yeast Proteome Database","http://www.proteome.com/YPDhome.html","no","can't be reached","not_applicable","not_applicable",1996,47,"no",1996,5,555,"debut",17,0.696428571428571,0.737402706759784,2
"MBDC0224",155,"REBASE: Restriction Enzymes and methylases dataBASE","http://www.neb.com/rebase","no","not found","not_applicable","not_applicable",1996,46,"yes",1991,15,1202,"update",19,0.660714285714286,0.591967837744961,2
"MBDC0130",130,"Haemophilia B","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1996,43,"no",1991,7,342,"update",20,0.642857142857143,0.513014440278078,2
"NAR9095",177,"GDB: Genome Data Base","http://gdbwww.gdb.org/","no","can't be reached","not_applicable","not_applicable",1996,42,"no",1991,7,302,"update",21,0.625,0.469727646995284,3
"NAR9211",148,"p53 Gene Mutations Database","Physical","not_www","not_applicable","not_applicable","not_applicable",1996,39,"no",1994,4,227,"update",22,0.607142857142857,0.493172784662146,3
"MBDC0463",129,"European Ribosomal RNA Database","http://rrna.uia.ac.be/rrna/lsuform.html","no","can't be reached","not_applicable","Naming; large ribosomal subunit RNA database (De Wachter)",1996,33,"yes",1991,17,2134,"update",23,0.589285714285714,0.71381754248527,2
"MBDC0162",141,"ESTHER: ESTerases, alpha-beta Hydrolase Enzymes and Relatives","http://www.montpellier.inra.fr:70/cholinesterase","no","can't be reached","not_applicable","not_applicable",1996,30,"yes",1996,5,285,"debut",24,0.571428571428571,0.595736820039828,2
"MBDC0123",133,"BTKbase: Bruton's agammaglobulinemia Tyrosine Kinase database","Server","not_www","not_applicable","not_applicable","not_applicable",1996,28,"no",1996,3,126,"debut",25,0.553571428571429,0.564556542748032,2
"MBDC0120",152,"Androgen Receptor Gene Mutations Database","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1996,27,"no",1994,4,241,"update",27,0.517857142857143,0.618386135141454,2
"MBDC0144",147,"PAH Mutation Analysis Consortium Database","http://www.mcgill.calpahdb","no","can't be reached","not_applicable","not_applicable",1996,27,"no",1996,3,96,"debut",26,0.535714285714286,0.484899851921129,3
"NAR9299",156,"Transgenic Rodent Mutations Database","http://sunsite.unc.edu/dnam/mainpage.html","yes","not_applicable","unknown","not_applicable",1996,27,"yes",1996,3,80,"debut",28,0.5,0.42607746863066,3
"MBDC0167",135,"HDB: Histone Database","http://www.ncbi.nlm.nih.gov/Baxevani/HISTONES","no","not found","not_applicable","not_applicable",1996,24,"yes",1996,6,139,"debut",29,0.482142857142857,0.308049388426354,3
"MBDC0209",151,"O-GLYCBASE","http://www.cbs.dtu.dk/netOglyc/cbsnetOglyc.html","no","not found","not_applicable","not_applicable",1996,23,"yes",1996,4,255,"debut",30,0.464285714285714,0.577161756683033,2
"MBDC0212",137,"PRINTS","http://www.biochem.ucl.ac.uk/bsm/dbbrowser","yes","not_applicable","2009","Access - Transfer/Redirect; redirect and can see here http://130.88.97.239/PRINTS/relnotes.php",1996,22,"yes",1994,8,837,"update",31,0.446428571428571,0.66903431961477,2
"MBDC0071",126,"FlyBase","Physical","not_www","not_applicable","not_applicable","not_applicable",1996,21,"yes",1994,17,2876,"update",32,0.428571428571429,0.728262508297606,2
"MBDC0181",120,"MHCPEP: MHC-binding peptides","http://www.wehi.edu.au","no","related generic reseach institution site redirect","not_applicable","not_applicable",1996,19,"no",1994,4,249,"update",33,0.410714285714286,0.554673252279635,2
"MBDC0048",154,"TransTerm","http://biochem.otaga.ac.nz.800/","no","can't be reached","not_applicable","not_applicable",1996,16,"yes",1993,10,250,"update",34,0.392857142857143,0.3184937498807,3
"MBDC0248",143,"SRPDB: Signal Recognition Particle Database","http://pegasus.uthct.edu/SRPDB/SRPDB.html","no","can't be reached","not_applicable","not_applicable",1996,15,"yes",1992,11,296,"update",35,0.375,0.302306008498003,3
"MBDC0225",132,"SWISS-2DPAGE","http://expasy.hcuge.ch/","yes","not_applicable","2011","not_applicable",1996,14,"yes",1994,5,151,"update",36,0.357142857142857,0.367281837804502,3
"NAR9085",149,"FBN1 Gene Database","Physical","not_www","not_applicable","not_applicable","not_applicable",1996,14,"never_www",1996,1,14,"debut",38,0.321428571428571,0.321428571428571,3
"NAR9119",111,"HAMSTeRS: Haemophilia A Mutation Structure Test and Resource Site","http://www.hamsters.rpms.ac.uk","no","can't be reached","not_applicable","Naming; offical naming of  HAMSTeRS",1996,14,"no",1994,4,310,"update",37,0.339285714285714,0.643802606967501,2
"NAR9116",114,"GSDB: Genome Sequence DataBase","http://www.ncgr.org/gsdb/gsdb.html","no","not found","not_applicable","Disambiguation; not the same as GDB: genome database for human genes; maybe be a precurosor to NCBI - DOE funded",1996,13,"no",1996,5,59,"debut",39,0.303571428571429,0.230765283128835,4
