article_id,db_id,resource_name,access,available,unavailable_message,available_update_date,notes,article_year,citations
68,MBDC0229,RNA Mutations (Triman Database),Server,not_www,not_applicable,not_applicable,not_applicable,1994,6
69,MBDC0248,SRPDB: Signal Recognition Particle Database,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1994,5
70,NAR9129,HSSP: Homology-Derived Structures of Proteins,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1994,28
71,MBDC0225,SWISS-2DPAGE,http://expasy.hcuge.ch/,yes,not_applicable,2011,not_applicable,1994,17
72,NAR9092,FSSP: Families of Structurally Similar Proteins,Server,not_www,not_applicable,not_applicable,not_applicable,1994,271
73,NAR9288,SWISS-PROT,http://expasy.hcuge.ch/,yes,not_applicable,2017,not_applicable,1994,196
74,NAR9278,small subunit (16S- and 16S-like) ribosomal RNA structures,http://pundit.colorado.edu:8080/RNA/16S/16s.html,no,can't be reached,not_applicable,Other; says that it complements the effort of the RDP,1994,318
75,MBDC0003,NCBI Genbank,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1994,162
76,MBDC0195,Ribonuclease P Database,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1994,23
77,MBDC0296,MPDB: Molecular Probe Data Base,Server,not_www,not_applicable,not_applicable,not_applicable,1994,4
78,MBDC0224,REBASE: Restriction Enzymes and methylases dataBASE,Server,not_www,not_applicable,not_applicable,not_applicable,1994,33
79,NAR9211,p53 Gene Mutations Database,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1994,28
80,NAR9128,HPRT Mutant Database,Server,not_www,not_applicable,not_applicable,not_applicable,1994,12
81,MBDC0215,PROSITE,http://expasy.hcuge.ch/,yes,not_applicable,2017,not_applicable,1994,183
82,NAR9210,OWL,http://www.gdb.org/Dan/proteins/owl.html,no,unrelated site redirect,not_applicable,not_applicable,1994,122
84,NAR9113,Group 1 Intron Database,http://pundit.colorado.edu:8080/RNA/GRPI/introns.html,no,can't be reached,not_applicable,not_applicable,1994,119
85,MBDC0071,FlyBase,Server,not_www,not_applicable,not_applicable,not_applicable,1994,23
86,MBDC0109,ENZYME Data Bank,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1994,31
87,MBDC0181,MHCPEP: MHC-binding peptides,Server,not_www,not_applicable,not_applicable,not_applicable,1994,41
88,MBDC0463,European Ribosomal RNA Database,Server,not_www,not_applicable,not_applicable,Naming; large ribosomal subunit RNA database (De Wachter),1994,80
89,MBDC0217,SBASE,http://www.icgeb.trieste.it,no,related generic reseach institution site redirect,not_applicable,not_applicable,1994,29
90,NAR9052,DEF: Database of Expected Fold-classes,Physical; Server,not_www,not_applicable,not_applicable,Access - Other; net-node number is 193.174.48.50,1994,41
91,NAR9012,Antithrombin III,Physical,not_www,not_applicable,not_applicable,not_applicable,1994,20
92,NAR9212,p53 Mutations in Human Tumors Database,Server,not_www,not_applicable,not_applicable,not_applicable,1994,765
93,MBDC0463,European Ribosomal RNA Database,Server,not_www,not_applicable,not_applicable,Naming; small ribosomal subunit RNA (De Wachter); Users of the database are requested to cite this paper.,1994,155
94,NAR9328,Yale Mutation Databases,Server,not_www,not_applicable,not_applicable,not_applicable,1994,2
95,MBDC0120,Androgen Receptor Gene Mutations Database,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1994,35
96,NAR9275,Site Specific Methylation,Physical,not_www,not_applicable,not_applicable,not_applicable,1994,302
97,MBDC0048,TransTerm,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1994,17
98,NAR9067,ECD: Escherichia coli database,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1994,27
100,MBDC0143,OMIM: Online Mendelian Inheritance in Man,omim.gdb.org,no,can't be reached,not_applicable,not_applicable,1994,52
101,NAR9157,LISTA,Server,not_www,not_applicable,not_applicable,not_applicable,1994,3
102,MBDC0194,PIR: Protein Identification Resouce,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1994,39
103,NAR9119,HAMSTeRS: Haemophilia A Mutation Structure Test and Resource Site,Supplement,not_www,not_applicable,not_applicable,Naming; preoffical naming as HAMSTeRS,1994,71
105,NAR9076,EMP: Enzymes and Metabolic Pathways Database,Server,not_www,not_applicable,not_applicable,not_applicable,1996,70
106,NAR9092,FSSP: Families of Structurally Similar Proteins,http://www.embl-heidelberg.de/dali/fssp/,no,not found,not_applicable,not_applicable,1996,204
107,MBDC0195,Ribonuclease P Database,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1996,4
108,NAR9239,Protein C deficiency,Physical,not_www,not_applicable,not_applicable,not_applicable,1996,10
109,NAR9114,GRR: Glucocorticoid Receptor Resource,http://biochem1.basic-sci.georgetown.edu/grr/grr.html,no,can't be reached,not_applicable,not_applicable,1996,0
110,NAR9202,NRSub: non-redundant Bacillus subtilis database,http://ddbjs4h.genes.nig.ac.jp/,no,can't be reached,not_applicable,not_applicable,1996,10
111,NAR9119,HAMSTeRS: Haemophilia A Mutation Structure Test and Resource Site,http://www.hamsters.rpms.ac.uk,no,can't be reached,not_applicable,Naming; offical naming of  HAMSTeRS,1996,14
112,MBDC0203,Blocks database,http://blocks.fhcrc.org/help,yes,not_applicable,2007,not_applicable,1996,76
113,NAR9157,LISTA,http://www.ch.embnet.org/,no,related generic government site redirect,not_applicable,Access - Failure Notes; does not seem to be available at the site,1996,5
114,NAR9116,GSDB: Genome Sequence DataBase,http://www.ncgr.org/gsdb/gsdb.html,no,not found,not_applicable,Disambiguation; not the same as GDB: genome database for human genes; maybe be a precurosor to NCBI - DOE funded,1996,13
115,NAR9277,Small RNA database (Reddy),http://mbcr.bcm.tmc.edu/smallRNA/smallrna.html,no,can't be reached,not_applicable,not_applicable,1996,6
116,MBDC0217,SBASE,http://www.icgeb.trieste.it,no,related generic reseach institution site redirect,not_applicable,not_applicable,1996,12
117,NAR9313,uRNA database,http://pegasus.uthct.edu/uRNADB/uRNADB.html,no,can't be reached,not_applicable,Charming; Additional uRNAs of interest will be available by the time you read this.,1996,12
118,NAR9129,HSSP: Homology-Derived Structures of Proteins,http://www.sander.embl-heidelberg.de/,no,can't be reached,not_applicable,not_applicable,1996,56
119,MBDC0229,RNA Mutations (Triman Database),http://www.fandm.edu/Departments/Biology/Databases/RNA.html,yes,not_applicable,unknown,not_applicable,1996,6
120,MBDC0181,MHCPEP: MHC-binding peptides,http://www.wehi.edu.au,no,related generic reseach institution site redirect,not_applicable,not_applicable,1996,19
121,MBDC0243,RDP: Ribosomal Database Project,http://rdpwww.life.uiuc.edu/,no,can't be reached,not_applicable,not_applicable,1996,428
122,MBDC0194,PIR: Protein Identification Resouce,http://www.mips.biochem.mpg.de/,no,can't be reached,not_applicable,not_applicable,1996,56
123,MBDC0109,ENZYME Data Bank,http://expasy.hcuge.ch/,yes,not_applicable,2016,not_applicable,1996,47
124,NAR9287,SV40 T Antigen Database,Physical,not_www,not_applicable,not_applicable,not_applicable,1996,3
125,MBDC0215,PROSITE,http://expasy.hcuge.ch/,yes,not_applicable,2017,not_applicable,1996,261
126,MBDC0071,FlyBase,Physical,not_www,not_applicable,not_applicable,not_applicable,1996,21
127,NAR9111,GRBase: Gene Regulation Database,http://www.access.digex.net/regulate,no,can't be reached,not_applicable,not_applicable,1996,1
128,NAR9212,p53 Mutations in Human Tumors Database,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1996,323
129,MBDC0463,European Ribosomal RNA Database,http://rrna.uia.ac.be/rrna/lsuform.html,no,can't be reached,not_applicable,Naming; large ribosomal subunit RNA database (De Wachter),1996,33
130,MBDC0130,Haemophilia B,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1996,43
131,NAR9042,Compilation of tRNA sequences and sequences of tRNA genes,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1996,142
132,MBDC0225,SWISS-2DPAGE,http://expasy.hcuge.ch/,yes,not_applicable,2011,not_applicable,1996,14
133,MBDC0123,BTKbase: Bruton's agammaglobulinemia Tyrosine Kinase database,Server,not_www,not_applicable,not_applicable,not_applicable,1996,28
134,MBDC0003,NCBI Genbank,http://www.ncbi.nlm.nih.gov/,yes,not_applicable,2017,not_applicable,1996,116
135,MBDC0167,HDB: Histone Database,http://www.ncbi.nlm.nih.gov/Baxevani/HISTONES,no,not found,not_applicable,not_applicable,1996,24
136,MBDC0084,MITOMAP,http://www.gen.emory.edu/mitomap.html,no,can't be reached,not_applicable,not_applicable,1996,80
137,MBDC0212,PRINTS,http://www.biochem.ucl.ac.uk/bsm/dbbrowser,yes,not_applicable,2009,Access - Transfer/Redirect; redirect and can see here http://130.88.97.239/PRINTS/relnotes.php,1996,22
138,NAR9014,APC Gene,Physical,not_www,not_applicable,not_applicable,not_applicable,1996,157
139,NAR9068,ECDC: E coli Database Compilation,http://susi.bio.uni-giessen.de/usr/local/www/html/ecdc.html,no,can't be reached,not_applicable,not_applicable,1996,12
140,MBDC0165,GenProtEC: Genes and proteins of Escherichia coli K-12,http://mbl.edu/html/ecoli.html,no,not found,not_applicable,Access - Transfer/Redirect; Genes and proteins of Escherichia coli; not the same as ECD,1996,9
141,MBDC0162,"ESTHER: ESTerases, alpha-beta Hydrolase Enzymes and Relatives",http://www.montpellier.inra.fr:70/cholinesterase,no,can't be reached,not_applicable,not_applicable,1996,30
142,MBDC0030,CUTG: Codon Usage Tabulated from GenBank,http://tisun4a.lab.nig.ac.jp/codon/CUTG.html,no,can't be reached,not_applicable,not_applicable,1996,54
143,MBDC0248,SRPDB: Signal Recognition Particle Database,http://pegasus.uthct.edu/SRPDB/SRPDB.html,no,can't be reached,not_applicable,not_applicable,1996,15
144,NAR9328,Yale Mutation Databases,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1996,6
145,MBDC0340,TRANSFAC,http://transfac.gbf-braunschweig.de,no,can't be reached,not_applicable,not_applicable,1996,627
147,MBDC0144,PAH Mutation Analysis Consortium Database,http://www.mcgill.calpahdb,no,can't be reached,not_applicable,not_applicable,1996,27
148,NAR9211,p53 Gene Mutations Database,Physical,not_www,not_applicable,not_applicable,not_applicable,1996,39
149,NAR9085,FBN1 Gene Database,Physical,not_www,not_applicable,not_applicable,not_applicable,1996,14
150,MBDC0245,RNAMDB: RNA Modification Database,http://www-medlib.med.utah.edu/RNAmods/RNAmods.html,no,can't be reached,not_applicable,not_applicable,1996,7
151,MBDC0209,O-GLYCBASE,http://www.cbs.dtu.dk/netOglyc/cbsnetOglyc.html,no,not found,not_applicable,not_applicable,1996,23
152,MBDC0120,Androgen Receptor Gene Mutations Database,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1996,27
153,MBDC0296,MPDB: Molecular Probe Data Base,http://www.ist.unige.it/interlab/mpdb.html,no,can't be reached,not_applicable,not_applicable,1996,2
154,MBDC0048,TransTerm,http://biochem.otaga.ac.nz.800/,no,can't be reached,not_applicable,not_applicable,1996,16
155,MBDC0224,REBASE: Restriction Enzymes and methylases dataBASE,http://www.neb.com/rebase,no,not found,not_applicable,not_applicable,1996,46
156,NAR9299,Transgenic Rodent Mutations Database,http://sunsite.unc.edu/dnam/mainpage.html,yes,not_applicable,unknown,not_applicable,1996,27
157,MBDC0108,EcoCyc,http://www.ai.sri.com/ecocyc/ecocyc.html,no,forbidden,not_applicable,not_applicable,1996,76
158,NAR9288,SWISS-PROT,http://expasy.hcuge.ch,yes,not_applicable,2017,not_applicable,1996,272
159,MBDC0229,RNA Mutations (Triman Database),http://www.fandm.edu/Departments/Biology/Databases/RNA.html,yes,not_applicable,unknown,indexing - other; title in scopus index is NOT correct; CORRECTED HERE,1996,8
176,NAR9329,YPD: Yeast Proteome Database,http://www.proteome.com/YPDhome.html,no,can't be reached,not_applicable,not_applicable,1996,47
177,NAR9095,GDB: Genome Data Base,http://gdbwww.gdb.org/,no,can't be reached,not_applicable,not_applicable,1996,42
179,MBDC0030,CUTG: Codon Usage Tabulated from GenBank,http://www.dna.affrc.go.jp/∼nakamura/CUTG.html,no,not found,not_applicable,not_applicable,1997,63
180,MBDC0209,O-GLYCBASE,http://www.cbs.dtu.dk/netOglyc/cbsnetOglyc.html,no,not found,not_applicable,not_applicable,1997,101
181,MBDC0130,Haemophilia B,http://www.umds.ac.uk/molgen/haemBdatabase,no,related generic reseach institution site redirect,not_applicable,Disambiguation; diff than Hamsters /A,1997,34
182,MBDC0144,PAH Mutation Analysis Consortium Database,http://www.mcgill.ca/pahdb,no,can't be reached,not_applicable,not_applicable,1997,27
183,NAR9117,Guide RNA database,http://www.biochem.mpg.de/~goeringe/,no,not found,not_applicable,not_applicable,1997,9
184,NAR9108,GIF-DB: Gene Interactions in the Fly Database,http://www-biol.univ-mrs.fr/∼lgpd/GIFTS_home_page.html,no,can't be reached,not_applicable,not_applicable,1997,8
185,MBDC0194,PIR: Protein Identification Resouce,Physical; Server,not_www,not_applicable,not_applicable,"Other; Provenance; Section on ""DATABASE INTEROPERABILITY""and also ... esource originated with the pioneering work of the late Margaret O. Dayhoff in the early 1960s. Since 1988, the Protein Sequence Database has been maintained collaboratively by PIR-International",1997,40
186,MBDC0442,EMBL-EBI Dali,http://www.embl-heidelberg.de/dali/fssp/,no,not found,not_applicable,not_applicable,1997,334
187,NAR9313,uRNA database,http://pegasus.uthct.edu/uRNADB/uRNADB.html,no,can't be reached,not_applicable,not_applicable,1997,14
188,NAR9119,HAMSTeRS: Haemophilia A Mutation Structure Test and Resource Site,http://europium.mrc.rpms.ac.uk,no,can't be reached,not_applicable,not_applicable,1997,45
189,MBDC0215,PROSITE,http://expasy.hcuge.ch/,yes,not_applicable,2017,not_applicable,1997,722
190,MBDC0172,IMGT: ImMunoGeneTics database,http://imgt.cnusc.fr:8104,no,can't be reached,not_applicable,Mirror fail; http://www.ebi.ac.uk/IMGT not found,1997,71
191,MBDC0181,MHCPEP: MHC-binding peptides,http://wehih.wehi.edu.au/mhcpep/,no,related generic reseach institution site redirect,not_applicable,not_applicable,1997,20
192,MBDC0108,EcoCyc,http://ecocyc.PangeaSystems.com/ecocyc/,no,can't be reached,not_applicable,not_applicable,1997,30
193,MBDC0243,RDP: Ribosomal Database Project,http://rdpwww.life.uiuc.edu/,no,can't be reached,not_applicable,not_applicable,1997,703
194,NAR9159,Marfan Database,Physical,not_www,not_applicable,not_applicable,not_applicable,1997,22
195,MBDC0087,MGD: Mouse Genome Database,http://www.informatics.jax.org,yes,not_applicable,2016,not_applicable,1997,42
196,NAR9165,Metabolic Pathway Collection,http://www.biobase.com/emphome.html/,no,can't be reached,not_applicable,not_applicable,1997,32
197,MBDC0282,SCOP: Structural Classification of Proteins,http://scop.mrc-lmb.cam.ac.uk/scop/,yes,not_applicable,2009,not_applicable,1997,182
198,MBDC0217,SBASE,http://www.icgeb.trieste.it/sbase/,yes,not_applicable,2006,not_applicable,1997,19
199,NAR9202,NRSub: non-redundant Bacillus subtilis database,http://ddbjs4h.genes.nig.ac.jp/,no,can't be reached,not_applicable,not_applicable,1997,4
200,MBDC0296,MPDB: Molecular Probe Data Base,http://www.biotech.ist.unige.it/interlab/mpdb.html,no,can't be reached,not_applicable,not_applicable,1997,4
201,NAR9288,SWISS-PROT,http://expasy.hcuge.ch/,yes,not_applicable,2017,not_applicable,1997,325
202,NAR9329,YPD: Yeast Proteome Database,http://www.proteome.com/YPDhome.html,no,can't be reached,not_applicable,not_applicable,1997,48
203,MBDC0162,"ESTHER: ESTerases, alpha-beta Hydrolase Enzymes and Relatives",http://www.ensam.inra.fr/cholinesterase/,no,not found,not_applicable,not_applicable,1997,39
204,NAR9154,LDL Receptor Gene Database,Physical,not_www,not_applicable,not_applicable,not_applicable,1997,48
205,NAR9116,GSDB: Genome Sequence DataBase,http://www.ncgr.org/gsdb,no,not found,not_applicable,not_applicable,1997,10
206,MBDC0167,HDB: Histone Database,http://www.ncbi.nlm.nih.gov/Baxevani/HISTONES/,no,not found,not_applicable,not_applicable,1997,9
207,MBDC0229,RNA Mutations (Triman Database),http://www.fandm.edu/Departments/Biology/Databases/RNA.html,yes,not_applicable,unknown,not_applicable,1997,10
208,NAR9129,HSSP: Homology-Derived Structures of Proteins,http://www.sander.embl-heidelberg.de/,no,can't be reached,not_applicable,not_applicable,1997,51
209,NAR9095,GDB: Genome Data Base,http://gdbwww.gdb.org/,no,can't be reached,not_applicable,not_applicable,1997,35
210,NAR9177,MIPS: Martinsried Institute for Protein Sequences,Physical,not_www,not_applicable,not_applicable,not_applicable,1997,189
211,NAR9317,Viroid and Viroid-Like RNA Database,http://www.callisto.si.usherb.ca/~jpperra,no,can't be reached,not_applicable,not_applicable,1997,10
212,NAR9253,RHdb: radiation hybrid database,http://www.ebi.ac.uk/RHdb,no,not found,not_applicable,not_applicable,1997,9
213,MBDC0120,Androgen Receptor Gene Mutations Database,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1997,43
214,MBDC0165,GenProtEC: Genes and proteins of Escherichia coli K-12,http://mbl.edu/html/ecoli.html,no,not found,not_applicable,not_applicable,1997,23
215,MBDC0463,European Ribosomal RNA Database,http://rrna.uia.ac.be/,no,can't be reached,not_applicable,Naming; large ribosomal subunit RNA database (De Wachter),1997,28
216,MBDC0003,NCBI Genbank,http://www.ncbi.nlm.nih.gov/,yes,not_applicable,2017,not_applicable,1997,174
217,MBDC0048,TransTerm,http://biochem.otago.ac.nz:800/Transterm/homepage/html,no,can't be reached,not_applicable,not_applicable,1997,17
218,MBDC0001,DDBJ: DNA Data Bank of Japan,http://www.ddbj.nig.ac.jp,yes,not_applicable,2016,Access - Other; had this address since 1997 at least,1997,26
219,MBDC0340,TRANSFAC,http://transfac.gbf-braunschweig.de,no,can't be reached,not_applicable,not_applicable,1997,122
220,MBDC0212,PRINTS,http://www.biochem.ucl.ac.uk/bsm/dbbrowser/,yes,not_applicable,2009,not_applicable,1997,45
221,NAR9299,Transgenic Rodent Mutations Database,http://sunsite.unc.edu/dnam/mainpage.html,yes,not_applicable,unknown,Interface; very old but functional website,1997,20
222,NAR9212,p53 Mutations in Human Tumors Database,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1997,260
223,MBDC0463,European Ribosomal RNA Database,http://rma.uia.ac.be/ssu/,no,can't be reached,not_applicable,Naming; small ribosomal subunit RNA (De Wachter) ,1997,123
224,NAR9055,Directory of P450-containing Systems,http://www.icgeb.trieste.it/p450/,yes,not_applicable,unknown,not_applicable,1997,5
225,MBDC0002,EMBL-EBI ENA: European Nucleotide Archive,http://www.ebi.ac.uk,yes,not_applicable,2017,"Provenance; DB Content; Database services provided by the EBI (1) are a continuation and extension of the former EMBL Data Library (2), in Heidelberg, Germany",1997,68
226,MBDC0224,REBASE: Restriction Enzymes and methylases dataBASE,http://www.neb.com/rebase,no,not found,not_applicable,not_applicable,1997,36
227,MBDC0123,BTKbase: Bruton's agammaglobulinemia Tyrosine Kinase database,http://www.helsinki.fi/science/signal/btkbase.html,no,can't be reached,not_applicable,not_applicable,1997,32
228,MBDC0071,FlyBase,http://flybase.bio.indiana.edu/,yes,not_applicable,2016,"Access - Other; many, many access mechanisms and URLs",1997,89
229,MBDC0203,Blocks database,http://blocks.fhcrc.org/,yes,not_applicable,2007,Funding; Service Status; This is the final release of the Blocks Database. The first release of the Blocks Database was made in 1990. Our current funding expires in July 2007 and we have decided not to pursue additional funding as our lab has moved on to other projects and there are now many excellent resources for protein family identification. We recommend starting with the InterPro server which has links to other protein family collections.,1997,39
